Date,TransactionType,Fund,Value
2011-10-29,Capital Call - Direct Investment,TT8-G0IZB,-112.0
2011-12-23,Capital Call - Direct Investment,TT8-G0IZB,-495.0
2012-01-08,Reported Market Value - Direct Asset,TT8-G0IZB,700.0
2012-02-25,Capital Call - Direct Investment,TT8-G0IZB,-38.0
2012-04-09,Reported Market Value - Direct Asset,TT8-G0IZB,880.0
2012-07-10,Reported Market Value - Direct Asset,TT8-G0IZB,938.0
2012-07-29,Capital Call - Direct Investment,TT8-G0IZB,-20.0
2012-09-07,Capital Call - Direct Investment,TT8-G0IZB,-52.0
2012-10-08,Reported Market Value - Direct Asset,TT8-G0IZB,995.0
2012-10-10,Capital Call - Direct Investment,TT8-G0IZB,-136.0
2013-01-07,Reported Market Value - Direct Asset,TT8-G0IZB,891.0
2013-04-09,Reported Market Value - Direct Asset,TT8-G0IZB,979.0
2013-07-10,Reported Market Value - Direct Asset,TT8-G0IZB,1192.0
2013-08-15,Capital Call - Direct Investment,TT8-G0IZB,-24.0
2013-10-05,Capital Call - Direct Investment,TT8-G0IZB,-88.0
2013-10-08,Reported Market Value - Direct Asset,TT8-G0IZB,1233.0
2014-01-07,Reported Market Value - Direct Asset,TT8-G0IZB,1116.0
2014-01-08,Capital Call - Direct Investment,TT8-G0IZB,-110.0
2014-04-09,Reported Market Value - Direct Asset,TT8-G0IZB,1164.0
2014-06-01,Capital Call - Direct Investment,TT8-G0IZB,-58.0
2014-07-10,Reported Market Value - Direct Asset,TT8-G0IZB,1260.0
2014-10-09,Reported Market Value - Direct Asset,TT8-G0IZB,1002.0
2015-01-08,Reported Market Value - Direct Asset,TT8-G0IZB,1166.0
2015-04-10,Reported Market Value - Direct Asset,TT8-G0IZB,1225.0
2015-06-11,Capital Call - Direct Investment,TT8-G0IZB,-280.0
2015-07-11,Reported Market Value - Direct Asset,TT8-G0IZB,1109.0
2015-10-09,Reported Market Value - Direct Asset,TT8-G0IZB,1153.0
