Date,TransactionType,Fund,Value
2011-12-08,Capital Call - Direct Investment,TYP-5BW34,-2519.0
2012-01-08,Reported Market Value - Direct Asset,TYP-5BW34,2519.0
2012-04-09,Reported Market Value - Direct Asset,TYP-5BW34,2519.0
2012-07-10,Reported Market Value - Direct Asset,TYP-5BW34,2761.0
2012-10-08,Reported Market Value - Direct Asset,TYP-5BW34,2755.0
2012-10-13,Income - Direct Investment,TYP-5BW34,5.0
2012-10-13,Capital Call - Direct Investment,TYP-5BW34,-237.0
2012-10-13,Return of Capital - Direct Investment,TYP-5BW34,118.0
2013-01-07,Reported Market Value - Direct Asset,TYP-5BW34,2871.0
2013-04-09,Reported Market Value - Direct Asset,TYP-5BW34,2771.0
2013-05-25,Capital Call - Direct Investment,TYP-5BW34,-172.0
2013-06-26,Capital Call - Direct Investment,TYP-5BW34,-1611.0
2013-07-10,Reported Market Value - Direct Asset,TYP-5BW34,4788.0
2013-10-08,Reported Market Value - Direct Asset,TYP-5BW34,4980.0
2014-01-07,Reported Market Value - Direct Asset,TYP-5BW34,5244.0
2014-04-09,Reported Market Value - Direct Asset,TYP-5BW34,5513.0
2014-07-10,Reported Market Value - Direct Asset,TYP-5BW34,5517.0
2014-10-09,Reported Market Value - Direct Asset,TYP-5BW34,5503.0
2015-01-08,Reported Market Value - Direct Asset,TYP-5BW34,5929.0
2015-04-10,Reported Market Value - Direct Asset,TYP-5BW34,6129.0
2015-07-11,Reported Market Value - Direct Asset,TYP-5BW34,6723.0
2015-10-09,Reported Market Value - Direct Asset,TYP-5BW34,8327.0
