Date,TransactionType,Fund,Value
2010-06-12,Capital Call - Direct Investment,U5E-5YLYH,-3089.0
2010-07-10,Reported Market Value - Direct Asset,U5E-5YLYH,3100.0
2010-10-09,Reported Market Value - Direct Asset,U5E-5YLYH,2950.0
2011-01-01,Capital Call - Direct Investment,U5E-5YLYH,-475.0
2011-01-08,Reported Market Value - Direct Asset,U5E-5YLYH,2902.0
2011-04-10,Reported Market Value - Direct Asset,U5E-5YLYH,1907.0
2011-05-18,Capital Call - Direct Investment,U5E-5YLYH,-119.0
2011-07-11,Reported Market Value - Direct Asset,U5E-5YLYH,1695.0
2011-10-09,Reported Market Value - Direct Asset,U5E-5YLYH,2807.0
2012-01-08,Reported Market Value - Direct Asset,U5E-5YLYH,1263.0
2012-01-22,Capital Call - Direct Investment,U5E-5YLYH,-261.0
2012-03-31,Capital Call - Direct Investment,U5E-5YLYH,-1307.0
2012-04-09,Reported Market Value - Direct Asset,U5E-5YLYH,2738.0
2012-07-10,Reported Market Value - Direct Asset,U5E-5YLYH,1075.0
2012-07-14,Capital Call - Direct Investment,U5E-5YLYH,-197.0
2012-10-08,Reported Market Value - Direct Asset,U5E-5YLYH,587.0
2013-01-07,Reported Market Value - Direct Asset,U5E-5YLYH,260.0
2013-04-09,Reported Market Value - Direct Asset,U5E-5YLYH,263.0
2013-07-10,Reported Market Value - Direct Asset,U5E-5YLYH,242.0
2013-10-08,Reported Market Value - Direct Asset,U5E-5YLYH,36.0
2013-10-13,Return of Capital - Direct Investment,U5E-5YLYH,120.0
2014-01-07,Reported Market Value - Direct Asset,U5E-5YLYH,19.0
2014-04-09,Reported Market Value - Direct Asset,U5E-5YLYH,19.0
2014-07-10,Reported Market Value - Direct Asset,U5E-5YLYH,0.0
2014-10-09,Reported Market Value - Direct Asset,U5E-5YLYH,0.0
2015-01-08,Reported Market Value - Direct Asset,U5E-5YLYH,0.0
2015-04-10,Reported Market Value - Direct Asset,U5E-5YLYH,0.0
