Date,TransactionType,Fund,Value
2014-05-04,Capital Call - Direct Investment,U5I-GMFWG,-125.0
2014-07-10,Reported Market Value - Direct Asset,U5I-GMFWG,126.0
2014-10-09,Reported Market Value - Direct Asset,U5I-GMFWG,127.0
2014-11-28,Income - Direct Investment,U5I-GMFWG,2.0
2015-01-08,Reported Market Value - Direct Asset,U5I-GMFWG,127.0
2015-04-10,Reported Market Value - Direct Asset,U5I-GMFWG,128.0
2015-06-21,Income - Direct Investment,U5I-GMFWG,5.0
2015-07-11,Reported Market Value - Direct Asset,U5I-GMFWG,128.0
2015-10-09,Reported Market Value - Direct Asset,U5I-GMFWG,129.0
2015-10-17,Income - Direct Investment,U5I-GMFWG,2.0
