Date,TransactionType,Fund,Value
2009-01-10,Capital Call - Direct Investment,U7L-MOKD1,-1109.0
2009-04-09,Reported Market Value - Direct Asset,U7L-MOKD1,1420.0
2009-07-08,Temporary Return of Capital - Direct Investment,U7L-MOKD1,27.0
2009-07-10,Reported Market Value - Direct Asset,U7L-MOKD1,1151.0
2009-08-13,Return of Capital - Direct Investment,U7L-MOKD1,53.0
2009-10-08,Reported Market Value - Direct Asset,U7L-MOKD1,1151.0
2010-01-07,Reported Market Value - Direct Asset,U7L-MOKD1,1212.0
2010-04-09,Reported Market Value - Direct Asset,U7L-MOKD1,1137.0
2010-07-10,Reported Market Value - Direct Asset,U7L-MOKD1,977.0
2010-10-09,Reported Market Value - Direct Asset,U7L-MOKD1,1056.0
2011-01-08,Reported Market Value - Direct Asset,U7L-MOKD1,1049.0
2011-04-10,Reported Market Value - Direct Asset,U7L-MOKD1,1134.0
2011-07-11,Reported Market Value - Direct Asset,U7L-MOKD1,1135.0
2011-10-09,Reported Market Value - Direct Asset,U7L-MOKD1,1087.0
2012-01-08,Reported Market Value - Direct Asset,U7L-MOKD1,1147.0
2012-04-09,Reported Market Value - Direct Asset,U7L-MOKD1,1147.0
2012-06-16,Return of Capital - Direct Investment,U7L-MOKD1,168.0
2012-10-08,Reported Market Value - Direct Asset,U7L-MOKD1,1143.0
2013-01-07,Reported Market Value - Direct Asset,U7L-MOKD1,1035.0
2013-04-09,Reported Market Value - Direct Asset,U7L-MOKD1,838.0
2013-07-10,Reported Market Value - Direct Asset,U7L-MOKD1,851.0
2013-10-08,Reported Market Value - Direct Asset,U7L-MOKD1,830.0
2013-11-02,Income - Direct Investment,U7L-MOKD1,100.0
2014-01-07,Reported Market Value - Direct Asset,U7L-MOKD1,205.0
2014-04-09,Reported Market Value - Direct Asset,U7L-MOKD1,0.0
2014-07-10,Reported Market Value - Direct Asset,U7L-MOKD1,0.0
2014-10-12,Return of Capital - Direct Investment,U7L-MOKD1,0.0
