Date,TransactionType,Fund,Value
2011-01-08,Capital Call - Direct Investment,U7M-W22ET,-419.0
2011-01-21,Capital Call - Direct Investment,U7M-W22ET,-50.0
2011-01-22,Capital Call - Direct Investment,U7M-W22ET,-40.0
2011-01-23,Capital Call - Direct Investment,U7M-W22ET,-9.0
2011-01-26,Capital Call - Direct Investment,U7M-W22ET,-26.0
2011-01-27,Capital Call - Direct Investment,U7M-W22ET,-18.0
2011-01-28,Capital Call - Direct Investment,U7M-W22ET,-16.0
2011-01-29,Capital Call - Direct Investment,U7M-W22ET,-35.0
2011-01-30,Capital Call - Direct Investment,U7M-W22ET,-53.0
2011-02-02,Capital Call - Direct Investment,U7M-W22ET,-23.0
2011-02-03,Capital Call - Direct Investment,U7M-W22ET,-20.0
2011-02-04,Capital Call - Direct Investment,U7M-W22ET,-50.0
2011-02-05,Capital Call - Direct Investment,U7M-W22ET,-90.0
2011-02-06,Capital Call - Direct Investment,U7M-W22ET,-30.0
2011-02-09,Capital Call - Direct Investment,U7M-W22ET,-94.0
2011-02-10,Capital Call - Direct Investment,U7M-W22ET,-183.0
2011-02-11,Capital Call - Direct Investment,U7M-W22ET,-109.0
2011-02-12,Capital Call - Direct Investment,U7M-W22ET,-70.0
2011-02-13,Capital Call - Direct Investment,U7M-W22ET,-45.0
2011-03-09,Income - Direct Investment,U7M-W22ET,44.0
2011-04-10,Reported Market Value - Direct Asset,U7M-W22ET,1673.0
2011-06-10,Return of Capital - Direct Investment,U7M-W22ET,30.0
2011-06-10,Income - Direct Investment,U7M-W22ET,23.0
2011-07-11,Reported Market Value - Direct Asset,U7M-W22ET,2151.0
2011-09-28,Return of Capital - Direct Investment,U7M-W22ET,31.0
2011-09-28,Income - Direct Investment,U7M-W22ET,11.0
2011-10-09,Reported Market Value - Direct Asset,U7M-W22ET,1918.0
2011-12-04,Income - Direct Investment,U7M-W22ET,16.0
2011-12-04,Return of Capital - Direct Investment,U7M-W22ET,41.0
2012-01-08,Reported Market Value - Direct Asset,U7M-W22ET,2737.0
2012-03-07,Return of Capital - Direct Investment,U7M-W22ET,25.0
2012-03-07,Income - Direct Investment,U7M-W22ET,18.0
2012-04-09,Reported Market Value - Direct Asset,U7M-W22ET,2312.0
2012-05-27,Income - Direct Investment,U7M-W22ET,37.0
2012-05-27,Return of Capital - Direct Investment,U7M-W22ET,18.0
2012-07-10,Reported Market Value - Direct Asset,U7M-W22ET,3311.0
2012-10-04,Return of Capital - Direct Investment,U7M-W22ET,33.0
2012-10-04,Income - Direct Investment,U7M-W22ET,21.0
2012-10-08,Reported Market Value - Direct Asset,U7M-W22ET,2622.0
2012-12-06,Income - Direct Investment,U7M-W22ET,56.0
2013-01-07,Reported Market Value - Direct Asset,U7M-W22ET,3040.0
2013-03-07,Income - Direct Investment,U7M-W22ET,24.0
2013-03-07,Return of Capital - Direct Investment,U7M-W22ET,23.0
2013-04-09,Reported Market Value - Direct Asset,U7M-W22ET,2586.0
2013-06-06,Income - Direct Investment,U7M-W22ET,51.0
2013-06-13,Capital Call - Direct Investment,U7M-W22ET,-1098.0
2013-07-10,Reported Market Value - Direct Asset,U7M-W22ET,3223.0
2013-10-04,Income - Direct Investment,U7M-W22ET,68.0
2013-10-08,Reported Market Value - Direct Asset,U7M-W22ET,3521.0
2013-12-05,Income - Direct Investment,U7M-W22ET,67.0
2014-01-07,Reported Market Value - Direct Asset,U7M-W22ET,3077.0
2014-03-06,Income - Direct Investment,U7M-W22ET,68.0
2014-04-09,Reported Market Value - Direct Asset,U7M-W22ET,3105.0
2014-06-06,Income - Direct Investment,U7M-W22ET,76.0
2014-07-10,Reported Market Value - Direct Asset,U7M-W22ET,4489.0
2014-10-03,Income - Direct Investment,U7M-W22ET,68.0
2014-10-09,Reported Market Value - Direct Asset,U7M-W22ET,1687.0
2014-10-11,Capital Call - Direct Investment,U7M-W22ET,-21.0
2014-10-16,Capital Call - Direct Investment,U7M-W22ET,-1080.0
2014-12-05,Income - Direct Investment,U7M-W22ET,117.0
2015-01-08,Reported Market Value - Direct Asset,U7M-W22ET,4593.0
2015-03-11,Income - Direct Investment,U7M-W22ET,117.0
2015-04-10,Reported Market Value - Direct Asset,U7M-W22ET,4902.0
2015-07-11,Reported Market Value - Direct Asset,U7M-W22ET,6239.0
2015-10-09,Reported Market Value - Direct Asset,U7M-W22ET,7346.0
