Date,TransactionType,Fund,Value
1/8/2012,Reported Market Value - Direct Asset,UGF-EKB68,639
2/4/2012,Capital Call - Direct Investment,UGF-EKB68,-634
4/4/2012,Return of Capital - Direct Investment,UGF-EKB68,15
4/4/2012,1ncome - Direct Investment,UGF-EKB68,2
4/9/2012,Reported Market Value - Direct Asset,UGF-EKB68,697
6/28/2012,Return of Capital - Direct Investment,UGF-EKB68,5
6/28/2012,Income - Direct Investment,UGF-EKB68,1
6/28/2012,Temporary Return of Capital - Direct Investment,UGF-EKB68,212
7/10/2012,Reported Market Value - Direct Asset,UGF-EKB68,455
8/4/2012,Return of Capital - Direct Investment,UGF-EKB68,13
8/4/2012,Income - Direct Investment,UGF-EKB68,0
10/8/2012,Reported Market Value - Direct Asset,UGF-EKB68,4l66
11/18/2012,Return of Capital - Direct Investment,UGF-EKB68,8
1/7/2013,Reported Market Value - Direct Asset,UGF-EKB68,462
4/9/2013,Reported Market Value - Direct Asset,UGF-EKB68,462
5/5/2013,Temporary Return of Capital - Direct Investment,UGF-EKB68,16
5/5/2013,Return of Capital - Direct Investment,UGF-EKB68,0
5/5/2013,Income - Direct Investment,UGF-EKB68,-1
7/10/2013,Reported Market Value - Direct Asset,UGF-EKB68,444
8/14/2013,Income - Direct Investment,UGF-EKB68,7
10/8/2013,Reported Market Value - Direct Asset,UGF-EKB68,450
11/23/2013,Return of Capital - Direct Investment,UGF-EKB68,1
11/31/2013,Income - Direct Investment,UGF-EKB68,7
1/7/2014,Reported Market Value - Direct Asset,UGF-EKB68,459
2/23/2014,Return of Capital - Direct Investment,UGF-EKB68,1
2/23/2014,Income - Direct Investment,UGF-EKB68,3
4/9/2014,Reported Market Value - Direct Asset,UGF-EKB68,378
7/2/2014,Temporary Return of Capital - Direct Investment,UGF-EKB68,2
7/10/2014,Reported Market Value - Direct Asset,UGF-EKB68,472
8/9/2014,Return of Capital - Direct Investment,UGF-EKB68,2
10/9/2014,Reported Market Value - Direct Asset,UGF-EKB68,419
1/8/2015,Reported Market Value - Direct Asset,UGF-EKB68,414
2/29/2015,Capital Call - Direct Investment,UGF-EKB68,-3
4/10/2015,Reported Market Value - Direct Asset,UGF-EKB68,403
6/5/2015,Capital Call - Direct Investment,UGF-EKB68,-10
7/11/2015,Reported Market Value - Direct Asset,UGF-EKB68,375
10/9/2015,Reported Market Value - Direct Asset,UGF-EKB68,358
11/28/2015,Capital Call - Direct Investment,UGF-EKB68,-11
