Date,TransactionType,Fund,Value
2012-08-11,Capital Call - Direct Investment,UMX-H1X5O,-17.0
2012-11-03,Capital Call - Direct Investment,UMX-H1X5O,-353.0
2013-02-01,Capital Call - Direct Investment,UMX-H1X5O,-19.0
2013-05-04,Capital Call - Direct Investment,UMX-H1X5O,-5.0
2013-08-11,Capital Call - Direct Investment,UMX-H1X5O,-14.0
2013-11-08,Capital Call - Direct Investment,UMX-H1X5O,-38.0
2014-02-01,Capital Call - Direct Investment,UMX-H1X5O,-22.0
2014-07-10,Reported Market Value - Direct Asset,UMX-H1X5O,230.0
2014-08-31,Capital Call - Direct Investment,UMX-H1X5O,-32.0
2014-10-09,Reported Market Value - Direct Asset,UMX-H1X5O,240.0
2014-10-29,Capital Call - Direct Investment,UMX-H1X5O,-7.0
2014-10-29,Capital Call - Direct Investment,UMX-H1X5O,-13.0
2014-11-13,Capital Call - Direct Investment,UMX-H1X5O,-35.0
2015-01-08,Reported Market Value - Direct Asset,UMX-H1X5O,247.0
2015-02-12,Capital Call - Direct Investment,UMX-H1X5O,-11.0
2015-04-10,Reported Market Value - Direct Asset,UMX-H1X5O,255.0
2015-05-28,Capital Call - Direct Investment,UMX-H1X5O,-1.0
2015-05-28,Capital Call - Direct Investment,UMX-H1X5O,-1.0
2015-05-28,Return of Capital - Direct Investment,UMX-H1X5O,-4.0
2015-07-11,Reported Market Value - Direct Asset,UMX-H1X5O,247.0
2015-08-05,Capital Call - Direct Investment,UMX-H1X5O,-1.0
2015-08-05,Capital Call - Direct Investment,UMX-H1X5O,-2.0
2015-10-09,Reported Market Value - Direct Asset,UMX-H1X5O,235.0
2015-10-16,Capital Call - Direct Investment,UMX-H1X5O,-1.0
2015-10-16,Capital Call - Direct Investment,UMX-H1X5O,-1.0
2015-12-04,Income - Direct Investment,UMX-H1X5O,4.0
2015-12-04,Return of Capital - Direct Investment,UMX-H1X5O,0.0
