Date,TransactionType,Fund,Value
2007-12-02,Capital Call - Direct Investment,UPB-FLIJG,-2456.0
2008-01-08,Reported Market Value - Direct Asset,UPB-FLIJG,2470.0
2008-04-09,Reported Market Value - Direct Asset,UPB-FLIJG,2470.0
2008-07-10,Reported Market Value - Direct Asset,UPB-FLIJG,2470.0
2008-10-08,Reported Market Value - Direct Asset,UPB-FLIJG,2539.0
2008-11-27,Capital Call - Direct Investment,UPB-FLIJG,-69.0
2009-01-07,Reported Market Value - Direct Asset,UPB-FLIJG,2741.0
2009-01-22,Temporary Return of Capital - Direct Investment,UPB-FLIJG,1.0
2009-04-09,Reported Market Value - Direct Asset,UPB-FLIJG,2818.0
2009-07-10,Reported Market Value - Direct Asset,UPB-FLIJG,2851.0
2009-08-06,Income - Direct Investment,UPB-FLIJG,63.0
2009-10-08,Reported Market Value - Direct Asset,UPB-FLIJG,2916.0
2010-01-07,Reported Market Value - Direct Asset,UPB-FLIJG,3023.0
2010-04-09,Reported Market Value - Direct Asset,UPB-FLIJG,3090.0
2010-07-10,Reported Market Value - Direct Asset,UPB-FLIJG,3237.0
2010-07-21,Income - Direct Investment,UPB-FLIJG,5.0
2010-09-17,Income - Direct Investment,UPB-FLIJG,12.0
2010-10-09,Reported Market Value - Direct Asset,UPB-FLIJG,3516.0
2011-01-08,Reported Market Value - Direct Asset,UPB-FLIJG,3998.0
2011-04-10,Reported Market Value - Direct Asset,UPB-FLIJG,4105.0
2011-06-08,Capital Call - Direct Investment,UPB-FLIJG,-1313.0
2011-07-11,Reported Market Value - Direct Asset,UPB-FLIJG,5991.0
2011-08-12,Capital Call - Direct Investment,UPB-FLIJG,-53.0
2011-08-12,Income - Direct Investment,UPB-FLIJG,53.0
2011-10-09,Reported Market Value - Direct Asset,UPB-FLIJG,6045.0
2011-12-01,Capital Call - Direct Investment,UPB-FLIJG,-563.0
2012-01-08,Reported Market Value - Direct Asset,UPB-FLIJG,6723.0
2012-04-09,Reported Market Value - Direct Asset,UPB-FLIJG,7079.0
2012-07-10,Reported Market Value - Direct Asset,UPB-FLIJG,7395.0
2012-10-08,Reported Market Value - Direct Asset,UPB-FLIJG,7727.0
2013-01-06,Income - Direct Investment,UPB-FLIJG,81.0
2013-01-07,Reported Market Value - Direct Asset,UPB-FLIJG,7733.0
2013-02-03,Capital Call - Direct Investment,UPB-FLIJG,-62.0
2013-04-09,Reported Market Value - Direct Asset,UPB-FLIJG,9838.0
2013-04-27,Income - Direct Investment,UPB-FLIJG,163.0
2013-05-25,Capital Call - Direct Investment,UPB-FLIJG,-0.0
2013-07-10,Reported Market Value - Direct Asset,UPB-FLIJG,11380.0
2013-07-27,Income - Direct Investment,UPB-FLIJG,82.0
2013-10-08,Reported Market Value - Direct Asset,UPB-FLIJG,11441.0
2013-11-23,Return of Capital - Direct Investment,UPB-FLIJG,971.0
2013-11-23,Realized Gain/Loss - Direct Investment,UPB-FLIJG,858.0
2014-01-07,Reported Market Value - Direct Asset,UPB-FLIJG,9780.0
2014-04-09,Reported Market Value - Direct Asset,UPB-FLIJG,9815.0
2014-04-09,Reported Market Value - Direct Asset,UPB-FLIJG,9781.0
2014-07-10,Reported Market Value - Direct Asset,UPB-FLIJG,9134.0
2014-07-10,Reported Market Value - Direct Asset,UPB-FLIJG,9103.0
2014-10-09,Reported Market Value - Direct Asset,UPB-FLIJG,8610.0
2015-01-08,Reported Market Value - Direct Asset,UPB-FLIJG,8613.0
2015-04-10,Reported Market Value - Direct Asset,UPB-FLIJG,8616.0
2015-07-11,Reported Market Value - Direct Asset,UPB-FLIJG,9161.0
2015-10-09,Reported Market Value - Direct Asset,UPB-FLIJG,9740.0
