Date,TransactionType,Fund,Value
2011-01-08,Capital Call - Direct Investment,UPF-TW4Q4,-26.0
2011-01-21,Capital Call - Direct Investment,UPF-TW4Q4,-3.0
2011-01-22,Capital Call - Direct Investment,UPF-TW4Q4,-2.0
2011-01-23,Capital Call - Direct Investment,UPF-TW4Q4,-1.0
2011-01-26,Capital Call - Direct Investment,UPF-TW4Q4,-2.0
2011-01-27,Capital Call - Direct Investment,UPF-TW4Q4,-1.0
2011-01-28,Capital Call - Direct Investment,UPF-TW4Q4,-1.0
2011-01-29,Capital Call - Direct Investment,UPF-TW4Q4,-2.0
2011-01-30,Capital Call - Direct Investment,UPF-TW4Q4,-3.0
2011-02-02,Capital Call - Direct Investment,UPF-TW4Q4,-1.0
2011-02-03,Capital Call - Direct Investment,UPF-TW4Q4,-1.0
2011-02-04,Capital Call - Direct Investment,UPF-TW4Q4,-3.0
2011-02-05,Capital Call - Direct Investment,UPF-TW4Q4,-5.0
2011-02-06,Capital Call - Direct Investment,UPF-TW4Q4,-2.0
2011-02-09,Capital Call - Direct Investment,UPF-TW4Q4,-6.0
2011-02-10,Capital Call - Direct Investment,UPF-TW4Q4,-11.0
2011-02-11,Capital Call - Direct Investment,UPF-TW4Q4,-6.0
2011-02-12,Capital Call - Direct Investment,UPF-TW4Q4,-4.0
2011-02-13,Capital Call - Direct Investment,UPF-TW4Q4,-3.0
2011-03-09,Income - Direct Investment,UPF-TW4Q4,3.0
2011-04-10,Reported Market Value - Direct Asset,UPF-TW4Q4,98.0
2011-06-10,Return of Capital - Direct Investment,UPF-TW4Q4,1.0
2011-06-10,Income - Direct Investment,UPF-TW4Q4,1.0
2011-07-11,Reported Market Value - Direct Asset,UPF-TW4Q4,102.0
2011-09-28,Return of Capital - Direct Investment,UPF-TW4Q4,2.0
2011-09-28,Income - Direct Investment,UPF-TW4Q4,1.0
2011-10-09,Reported Market Value - Direct Asset,UPF-TW4Q4,111.0
2011-12-04,Return of Capital - Direct Investment,UPF-TW4Q4,2.0
2011-12-04,Income - Direct Investment,UPF-TW4Q4,1.0
2012-01-08,Reported Market Value - Direct Asset,UPF-TW4Q4,133.0
2012-03-07,Return of Capital - Direct Investment,UPF-TW4Q4,2.0
2012-03-07,Income - Direct Investment,UPF-TW4Q4,1.0
2012-04-09,Reported Market Value - Direct Asset,UPF-TW4Q4,163.0
2012-05-27,Income - Direct Investment,UPF-TW4Q4,2.0
2012-05-27,Return of Capital - Direct Investment,UPF-TW4Q4,1.0
2012-07-10,Reported Market Value - Direct Asset,UPF-TW4Q4,174.0
2012-10-04,Return of Capital - Direct Investment,UPF-TW4Q4,2.0
2012-10-04,Income - Direct Investment,UPF-TW4Q4,1.0
2012-10-08,Reported Market Value - Direct Asset,UPF-TW4Q4,156.0
2012-12-06,Income - Direct Investment,UPF-TW4Q4,3.0
2013-01-07,Reported Market Value - Direct Asset,UPF-TW4Q4,188.0
2013-03-07,Income - Direct Investment,UPF-TW4Q4,2.0
2013-03-07,Return of Capital - Direct Investment,UPF-TW4Q4,2.0
2013-04-09,Reported Market Value - Direct Asset,UPF-TW4Q4,203.0
2013-06-06,Income - Direct Investment,UPF-TW4Q4,4.0
2013-06-13,Capital Call - Direct Investment,UPF-TW4Q4,-83.0
2013-07-10,Reported Market Value - Direct Asset,UPF-TW4Q4,245.0
2013-10-04,Income - Direct Investment,UPF-TW4Q4,7.0
2013-10-08,Reported Market Value - Direct Asset,UPF-TW4Q4,387.0
2013-12-05,Income - Direct Investment,UPF-TW4Q4,4.0
2014-01-07,Reported Market Value - Direct Asset,UPF-TW4Q4,171.0
2014-03-06,Income - Direct Investment,UPF-TW4Q4,4.0
2014-04-09,Reported Market Value - Direct Asset,UPF-TW4Q4,176.0
2014-07-10,Reported Market Value - Direct Asset,UPF-TW4Q4,0.0
