Date,TransactionType,Fund,Value
2010-04-16,Capital Call - Direct Investment,URI-1976Y,-2598.0
2010-07-10,Reported Market Value - Direct Asset,URI-1976Y,2589.0
2010-08-12,Capital Call - Direct Investment,URI-1976Y,-15.0
2010-09-10,Temporary Return of Capital - Direct Investment,URI-1976Y,837.0
2010-10-09,Capital Call - Direct Investment,URI-1976Y,-233.0
2010-10-09,Reported Market Value - Direct Asset,URI-1976Y,2004.0
2010-12-31,Temporary Return of Capital - Direct Investment,URI-1976Y,97.0
2011-01-08,Reported Market Value - Direct Asset,URI-1976Y,2012.0
2011-04-10,Reported Market Value - Direct Asset,URI-1976Y,2065.0
2011-04-24,Capital Call - Direct Investment,URI-1976Y,-1415.0
2011-05-20,Capital Call - Direct Investment,URI-1976Y,-590.0
2011-07-11,Reported Market Value - Direct Asset,URI-1976Y,4134.0
2011-10-09,Reported Market Value - Direct Asset,URI-1976Y,4302.0
2012-01-08,Reported Market Value - Direct Asset,URI-1976Y,4449.0
2012-04-09,Reported Market Value - Direct Asset,URI-1976Y,4521.0
2012-07-10,Reported Market Value - Direct Asset,URI-1976Y,4266.0
2012-10-08,Reported Market Value - Direct Asset,URI-1976Y,4425.0
2012-10-31,Capital Call - Direct Investment,URI-1976Y,-55.0
2013-01-07,Reported Market Value - Direct Asset,URI-1976Y,4789.0
2013-04-09,Reported Market Value - Direct Asset,URI-1976Y,4882.0
2013-05-16,Capital Call - Direct Investment,URI-1976Y,-220.0
2013-07-10,Reported Market Value - Direct Asset,URI-1976Y,5178.0
2013-08-15,Capital Call - Direct Investment,URI-1976Y,-281.0
2013-10-05,Income - Direct Investment,URI-1976Y,362.0
2013-10-08,Reported Market Value - Direct Asset,URI-1976Y,5449.0
2014-01-07,Reported Market Value - Direct Asset,URI-1976Y,5140.0
2014-04-09,Reported Market Value - Direct Asset,URI-1976Y,5260.0
2014-06-01,Capital Call - Direct Investment,URI-1976Y,-89.0
2014-07-10,Reported Market Value - Direct Asset,URI-1976Y,5444.0
2014-10-09,Reported Market Value - Direct Asset,URI-1976Y,5528.0
2015-01-08,Reported Market Value - Direct Asset,URI-1976Y,5574.0
2015-04-10,Reported Market Value - Direct Asset,URI-1976Y,5567.0
2015-06-21,Income - Direct Investment,URI-1976Y,138.0
2015-07-11,Reported Market Value - Direct Asset,URI-1976Y,7034.0
2015-10-09,Reported Market Value - Direct Asset,URI-1976Y,7040.0
