Date,TransactionType,Fund,Value
2013-04-09,Reported Market Value - Direct Asset,UTD-24IRX,566.0
2013-06-12,Capital Call - Direct Investment,UTD-24IRX,-758.0
2013-07-10,Reported Market Value - Direct Asset,UTD-24IRX,758.0
2013-10-08,Reported Market Value - Direct Asset,UTD-24IRX,758.0
2014-01-07,Reported Market Value - Direct Asset,UTD-24IRX,758.0
2014-04-09,Reported Market Value - Direct Asset,UTD-24IRX,834.0
2014-07-10,Reported Market Value - Direct Asset,UTD-24IRX,834.0
2014-10-09,Reported Market Value - Direct Asset,UTD-24IRX,607.0
2015-01-08,Reported Market Value - Direct Asset,UTD-24IRX,607.0
2015-04-10,Reported Market Value - Direct Asset,UTD-24IRX,758.0
2015-07-11,Reported Market Value - Direct Asset,UTD-24IRX,607.0
2015-10-09,Reported Market Value - Direct Asset,UTD-24IRX,607.0
