Date,TransactionType,Fund,Value
2013-01-07,Reported Market Value - Direct Asset,UVX-KB0RK,66.0
2013-04-09,Reported Market Value - Direct Asset,UVX-KB0RK,67.0
2013-07-10,Reported Market Value - Direct Asset,UVX-KB0RK,59.0
2013-10-08,Reported Market Value - Direct Asset,UVX-KB0RK,60.0
2014-01-07,Reported Market Value - Direct Asset,UVX-KB0RK,60.0
2014-03-13,Capital Call - Direct Investment,UVX-KB0RK,-60.0
2014-03-13,Capital Call - Direct Investment,UVX-KB0RK,-0.0
2014-04-09,Reported Market Value - Direct Asset,UVX-KB0RK,75.0
2014-07-10,Capital Call - Direct Investment,UVX-KB0RK,-15.0
2014-07-10,Capital Call - Direct Investment,UVX-KB0RK,-0.0
2014-07-10,Reported Market Value - Direct Asset,UVX-KB0RK,79.0
2014-10-08,Capital Call - Direct Investment,UVX-KB0RK,-158.0
2014-10-09,Reported Market Value - Direct Asset,UVX-KB0RK,248.0
2015-01-08,Reported Market Value - Direct Asset,UVX-KB0RK,309.0
2015-04-10,Reported Market Value - Direct Asset,UVX-KB0RK,391.0
2015-07-11,Reported Market Value - Direct Asset,UVX-KB0RK,212.0
2015-10-09,Reported Market Value - Direct Asset,UVX-KB0RK,238.0
