Date,TransactionType,Fund,Value
2010-05-07,Capital Call - Direct Investment,V0N-DQKS1,-824.0
2010-07-10,Reported Market Value - Direct Asset,V0N-DQKS1,886.0
2010-10-09,Reported Market Value - Direct Asset,V0N-DQKS1,832.0
2010-11-21,Capital Call - Direct Investment,V0N-DQKS1,-8.0
2011-01-08,Reported Market Value - Direct Asset,V0N-DQKS1,832.0
2011-04-10,Reported Market Value - Direct Asset,V0N-DQKS1,833.0
2011-04-30,Capital Call - Direct Investment,V0N-DQKS1,-26.0
2011-07-11,Reported Market Value - Direct Asset,V0N-DQKS1,1004.0
2011-10-09,Reported Market Value - Direct Asset,V0N-DQKS1,1004.0
2012-01-08,Reported Market Value - Direct Asset,V0N-DQKS1,1022.0
2012-04-09,Reported Market Value - Direct Asset,V0N-DQKS1,1022.0
2012-06-23,Return of Capital - Direct Investment,V0N-DQKS1,41.0
2012-07-10,Reported Market Value - Direct Asset,V0N-DQKS1,1119.0
2012-10-08,Reported Market Value - Direct Asset,V0N-DQKS1,1119.0
2012-12-30,Return of Capital - Direct Investment,V0N-DQKS1,22.0
2013-01-07,Reported Market Value - Direct Asset,V0N-DQKS1,1119.0
2013-04-09,Reported Market Value - Direct Asset,V0N-DQKS1,1119.0
2013-04-26,Income - Direct Investment,V0N-DQKS1,29.0
2013-07-10,Reported Market Value - Direct Asset,V0N-DQKS1,1257.0
2013-10-08,Reported Market Value - Direct Asset,V0N-DQKS1,1257.0
2014-01-02,Income - Direct Investment,V0N-DQKS1,15.0
2014-01-07,Reported Market Value - Direct Asset,V0N-DQKS1,1257.0
2014-04-09,Reported Market Value - Direct Asset,V0N-DQKS1,1257.0
2014-07-10,Reported Market Value - Direct Asset,V0N-DQKS1,1449.0
2014-10-09,Reported Market Value - Direct Asset,V0N-DQKS1,1449.0
2015-01-08,Reported Market Value - Direct Asset,V0N-DQKS1,1461.0
2015-04-10,Reported Market Value - Direct Asset,V0N-DQKS1,1461.0
2015-06-20,Income - Direct Investment,V0N-DQKS1,21.0
2015-07-11,Reported Market Value - Direct Asset,V0N-DQKS1,1512.0
2015-10-04,Income - Direct Investment,V0N-DQKS1,6.0
2015-10-09,Reported Market Value - Direct Asset,V0N-DQKS1,1498.0
