Date,TransactionType,Fund,Value
2011-02-19,Capital Call - Direct Investment,V0Z-XQ5WP,-2061.0
2011-04-10,Reported Market Value - Direct Asset,V0Z-XQ5WP,3905.0
2011-07-11,Reported Market Value - Direct Asset,V0Z-XQ5WP,1758.0
2011-07-24,Realized Gain/Loss - Direct Investment,V0Z-XQ5WP,1436.0
2011-07-24,Return of Capital - Direct Investment,V0Z-XQ5WP,1318.0
2011-10-09,Reported Market Value - Direct Asset,V0Z-XQ5WP,1360.0
2011-11-27,Return of Capital - Direct Investment,V0Z-XQ5WP,83.0
2011-12-31,Realized Gain/Loss - Direct Investment,V0Z-XQ5WP,1.0
2011-12-31,Return of Capital - Direct Investment,V0Z-XQ5WP,851.0
2012-01-05,Realized Gain/Loss - Direct Investment,V0Z-XQ5WP,106.0
2012-01-05,Return of Capital - Direct Investment,V0Z-XQ5WP,130.0
2012-01-08,Reported Market Value - Direct Asset,V0Z-XQ5WP,230.0
2012-04-09,Reported Market Value - Direct Asset,V0Z-XQ5WP,230.0
2012-07-08,Capital Call - Direct Investment,V0Z-XQ5WP,-14.0
2012-07-08,Return of Capital - Direct Investment,V0Z-XQ5WP,185.0
2012-07-08,Return of Capital - Direct Investment,V0Z-XQ5WP,108.0
2012-07-08,Realized Gain/Loss - Direct Investment,V0Z-XQ5WP,90.0
2012-07-10,Reported Market Value - Direct Asset,V0Z-XQ5WP,0.0
2012-10-08,Reported Market Value - Direct Asset,V0Z-XQ5WP,0.0
2013-01-18,Realized Gain/Loss - Direct Investment,V0Z-XQ5WP,4.0
2014-01-07,Reported Market Value - Direct Asset,V0Z-XQ5WP,0.0
2014-04-09,Reported Market Value - Direct Asset,V0Z-XQ5WP,0.0
2014-07-10,Reported Market Value - Direct Asset,V0Z-XQ5WP,0.0
2014-10-09,Reported Market Value - Direct Asset,V0Z-XQ5WP,0.0
2015-01-08,Reported Market Value - Direct Asset,V0Z-XQ5WP,0.0
2015-04-10,Reported Market Value - Direct Asset,V0Z-XQ5WP,0.0
