Date,TransactionType,Fund,Value
2013-06-27,Capital Call - Direct Investment,V31-DVD1R,-2150.0
2013-07-10,Reported Market Value - Direct Asset,V31-DVD1R,3466.0
2013-10-05,Capital Call - Direct Investment,V31-DVD1R,-221.0
2013-10-08,Reported Market Value - Direct Asset,V31-DVD1R,3494.0
2014-01-07,Reported Market Value - Direct Asset,V31-DVD1R,2292.0
2014-03-16,Capital Call - Direct Investment,V31-DVD1R,-221.0
2014-04-09,Reported Market Value - Direct Asset,V31-DVD1R,2358.0
2014-07-10,Reported Market Value - Direct Asset,V31-DVD1R,2670.0
2014-10-09,Reported Market Value - Direct Asset,V31-DVD1R,2698.0
2015-01-08,Reported Market Value - Direct Asset,V31-DVD1R,2796.0
2015-04-10,Reported Market Value - Direct Asset,V31-DVD1R,2758.0
2015-07-11,Reported Market Value - Direct Asset,V31-DVD1R,2703.0
2015-10-09,Reported Market Value - Direct Asset,V31-DVD1R,2692.0
