Date,TransactionType,Fund,Value
2013-11-27,Capital Call - Direct Investment,VKJ-5SAJ2,-3067.0
2014-01-07,Reported Market Value - Direct Asset,VKJ-5SAJ2,3045.0
2014-03-26,Return of Capital - Direct Investment,VKJ-5SAJ2,1479.0
2014-04-09,Reported Market Value - Direct Asset,VKJ-5SAJ2,1577.0
2014-05-01,Capital Call - Direct Investment,VKJ-5SAJ2,-128.0
2014-06-21,Capital Call - Direct Investment,VKJ-5SAJ2,-95.0
2014-07-10,Reported Market Value - Direct Asset,VKJ-5SAJ2,2040.0
2014-10-09,Reported Market Value - Direct Asset,VKJ-5SAJ2,1870.0
2015-01-08,Reported Market Value - Direct Asset,VKJ-5SAJ2,2010.0
2015-04-04,Capital Call - Direct Investment,VKJ-5SAJ2,-3.0
2015-04-10,Reported Market Value - Direct Asset,VKJ-5SAJ2,2085.0
2015-07-01,Realized Gain/Loss - Direct Investment,VKJ-5SAJ2,1.0
2015-07-01,Income - Direct Investment,VKJ-5SAJ2,0.0
2015-07-01,Return of Capital - Direct Investment,VKJ-5SAJ2,3.0
2015-07-11,Reported Market Value - Direct Asset,VKJ-5SAJ2,2096.0
2015-10-09,Reported Market Value - Direct Asset,VKJ-5SAJ2,2152.0
