Date,TransactionType,Fund,Value
2004-10-06,Capital Call - Direct Investment,VL7-53LHE,-2830.0
2004-11-17,Return of Capital - Direct Investment,VL7-53LHE,53.0
2004-11-17,Income - Direct Investment,VL7-53LHE,13.0
2004-12-11,Income - Direct Investment,VL7-53LHE,26.0
2004-12-29,Capital Call - Direct Investment,VL7-53LHE,-18.0
2005-01-07,Reported Market Value - Direct Asset,VL7-53LHE,2769.0
2005-02-19,Income - Direct Investment,VL7-53LHE,17.0
2005-04-09,Return of Capital - Direct Investment,VL7-53LHE,22.0
2005-04-09,Reported Market Value - Direct Asset,VL7-53LHE,2889.0
2005-05-13,Return of Capital - Direct Investment,VL7-53LHE,21.0
2005-06-09,Return of Capital - Direct Investment,VL7-53LHE,11.0
2005-06-24,Capital Call - Direct Investment,VL7-53LHE,-143.0
2005-07-08,Return of Capital - Direct Investment,VL7-53LHE,11.0
2005-07-10,Reported Market Value - Direct Asset,VL7-53LHE,1782.0
2005-10-08,Income - Direct Investment,VL7-53LHE,66.0
2005-10-08,Income - Direct Investment,VL7-53LHE,47.0
2005-10-08,Return of Capital - Direct Investment,VL7-53LHE,-47.0
2005-10-08,Reported Market Value - Direct Asset,VL7-53LHE,1809.0
2006-01-07,Return of Capital - Direct Investment,VL7-53LHE,57.0
2006-01-07,Income - Direct Investment,VL7-53LHE,5.0
2006-01-07,Reported Market Value - Direct Asset,VL7-53LHE,1837.0
2006-04-07,Return of Capital - Direct Investment,VL7-53LHE,659.0
2006-04-09,Reported Market Value - Direct Asset,VL7-53LHE,1233.0
2006-05-03,Return of Capital - Direct Investment,VL7-53LHE,98.0
2006-07-10,Reported Market Value - Direct Asset,VL7-53LHE,1064.0
2006-07-27,Return of Capital - Direct Investment,VL7-53LHE,26.0
2006-10-09,Reported Market Value - Direct Asset,VL7-53LHE,1069.0
2006-10-14,Return of Capital - Direct Investment,VL7-53LHE,26.0
2007-01-08,Reported Market Value - Direct Asset,VL7-53LHE,1036.0
2007-01-18,Return of Capital - Direct Investment,VL7-53LHE,34.0
2007-04-10,Reported Market Value - Direct Asset,VL7-53LHE,1058.0
2007-04-27,Return of Capital - Direct Investment,VL7-53LHE,28.0
2007-07-07,Return of Capital - Direct Investment,VL7-53LHE,34.0
2007-07-11,Reported Market Value - Direct Asset,VL7-53LHE,1085.0
2007-07-28,Return of Capital - Direct Investment,VL7-53LHE,22.0
2007-10-09,Reported Market Value - Direct Asset,VL7-53LHE,1058.0
2007-10-26,Return of Capital - Direct Investment,VL7-53LHE,11.0
2008-01-08,Reported Market Value - Direct Asset,VL7-53LHE,1080.0
2008-01-13,Return of Capital - Direct Investment,VL7-53LHE,11.0
2008-04-09,Reported Market Value - Direct Asset,VL7-53LHE,1096.0
2008-04-25,Capital Call - Direct Investment,VL7-53LHE,-106.0
2008-07-10,Reported Market Value - Direct Asset,VL7-53LHE,1339.0
2008-10-08,Reported Market Value - Direct Asset,VL7-53LHE,1381.0
2008-10-23,Capital Call - Direct Investment,VL7-53LHE,-110.0
2009-01-07,Reported Market Value - Direct Asset,VL7-53LHE,1491.0
2009-01-10,Capital Call - Direct Investment,VL7-53LHE,-61.0
2009-04-09,Reported Market Value - Direct Asset,VL7-53LHE,1354.0
2009-05-02,Capital Call - Direct Investment,VL7-53LHE,-72.0
2009-07-01,Capital Call - Direct Investment,VL7-53LHE,-28.0
2009-07-10,Reported Market Value - Direct Asset,VL7-53LHE,1283.0
2009-10-08,Reported Market Value - Direct Asset,VL7-53LHE,1294.0
2009-10-14,Capital Call - Direct Investment,VL7-53LHE,-30.0
2010-01-07,Reported Market Value - Direct Asset,VL7-53LHE,1321.0
2010-04-09,Reported Market Value - Direct Asset,VL7-53LHE,1343.0
2010-04-28,Capital Call - Direct Investment,VL7-53LHE,-30.0
2010-07-08,Capital Call - Direct Investment,VL7-53LHE,-55.0
2010-07-10,Reported Market Value - Direct Asset,VL7-53LHE,1266.0
2010-10-09,Reported Market Value - Direct Asset,VL7-53LHE,10538.0
2010-10-29,Capital Call - Direct Investment,VL7-53LHE,-50.0
2011-01-08,Reported Market Value - Direct Asset,VL7-53LHE,1104.0
2011-04-10,Reported Market Value - Direct Asset,VL7-53LHE,991.0
2011-07-01,Return of Capital - Direct Investment,VL7-53LHE,28.0
2011-07-11,Reported Market Value - Direct Asset,VL7-53LHE,980.0
2011-10-09,Reported Market Value - Direct Asset,VL7-53LHE,975.0
2012-01-08,Reported Market Value - Direct Asset,VL7-53LHE,1051.0
2012-01-14,Return of Capital - Direct Investment,VL7-53LHE,8.0
2012-04-09,Reported Market Value - Direct Asset,VL7-53LHE,593.0
2012-04-28,Return of Capital - Direct Investment,VL7-53LHE,11.0
2012-07-10,Reported Market Value - Direct Asset,VL7-53LHE,593.0
2012-08-04,Capital Call - Direct Investment,VL7-53LHE,-43.0
2012-10-08,Reported Market Value - Direct Asset,VL7-53LHE,593.0
2012-11-17,Return of Capital - Direct Investment,VL7-53LHE,555.0
2013-01-07,Reported Market Value - Direct Asset,VL7-53LHE,0.0
2014-01-07,Reported Market Value - Direct Asset,VL7-53LHE,0.0
2014-04-09,Reported Market Value - Direct Asset,VL7-53LHE,0.0
2014-06-26,Return of Capital - Direct Investment,VL7-53LHE,17.0
