Date,TransactionType,Fund,Value
2003-04-27,Capital Call - Direct Investment,VO9-0VV5J,-633.0
2003-07-11,Reported Market Value - Direct Asset,VO9-0VV5J,614.0
2003-10-09,Reported Market Value - Direct Asset,VO9-0VV5J,616.0
2003-11-29,Capital Call - Direct Investment,VO9-0VV5J,-10.0
2004-01-08,Reported Market Value - Direct Asset,VO9-0VV5J,682.0
2004-04-09,Reported Market Value - Direct Asset,VO9-0VV5J,595.0
2004-05-06,Return of Capital - Direct Investment,VO9-0VV5J,20.0
2004-07-10,Reported Market Value - Direct Asset,VO9-0VV5J,674.0
2004-10-08,Reported Market Value - Direct Asset,VO9-0VV5J,636.0
2004-10-09,Return of Capital - Direct Investment,VO9-0VV5J,13.0
2005-01-07,Reported Market Value - Direct Asset,VO9-0VV5J,654.0
2005-03-31,Return of Capital - Direct Investment,VO9-0VV5J,8.0
2005-03-31,Return of Capital - Direct Investment,VO9-0VV5J,0.0
2005-04-09,Reported Market Value - Direct Asset,VO9-0VV5J,649.0
2005-07-10,Reported Market Value - Direct Asset,VO9-0VV5J,766.0
2005-10-08,Reported Market Value - Direct Asset,VO9-0VV5J,649.0
2006-01-07,Reported Market Value - Direct Asset,VO9-0VV5J,648.0
2006-04-09,Reported Market Value - Direct Asset,VO9-0VV5J,656.0
2006-07-10,Reported Market Value - Direct Asset,VO9-0VV5J,658.0
2006-10-09,Reported Market Value - Direct Asset,VO9-0VV5J,656.0
2007-01-08,Reported Market Value - Direct Asset,VO9-0VV5J,652.0
2007-04-10,Reported Market Value - Direct Asset,VO9-0VV5J,467.0
2007-07-11,Reported Market Value - Direct Asset,VO9-0VV5J,467.0
2007-10-09,Reported Market Value - Direct Asset,VO9-0VV5J,548.0
2007-10-19,Return of Capital - Direct Investment,VO9-0VV5J,32.0
2008-01-08,Reported Market Value - Direct Asset,VO9-0VV5J,467.0
2008-04-09,Reported Market Value - Direct Asset,VO9-0VV5J,477.0
2008-05-01,Return of Capital - Direct Investment,VO9-0VV5J,16.0
2008-05-01,Return of Capital - Direct Investment,VO9-0VV5J,0.0
2008-07-10,Reported Market Value - Direct Asset,VO9-0VV5J,506.0
2008-10-08,Reported Market Value - Direct Asset,VO9-0VV5J,530.0
2009-01-07,Return of Capital - Direct Investment,VO9-0VV5J,43.0
2009-01-07,Reported Market Value - Direct Asset,VO9-0VV5J,530.0
2009-04-09,Reported Market Value - Direct Asset,VO9-0VV5J,530.0
2009-06-28,Return of Capital - Direct Investment,VO9-0VV5J,25.0
2009-07-10,Reported Market Value - Direct Asset,VO9-0VV5J,529.0
2009-10-08,Reported Market Value - Direct Asset,VO9-0VV5J,528.0
2009-12-27,Return of Capital - Direct Investment,VO9-0VV5J,27.0
2010-01-07,Reported Market Value - Direct Asset,VO9-0VV5J,528.0
2010-03-28,Return of Capital - Direct Investment,VO9-0VV5J,20.0
2010-04-09,Reported Market Value - Direct Asset,VO9-0VV5J,687.0
2010-07-10,Reported Market Value - Direct Asset,VO9-0VV5J,1927.0
2010-10-02,Realized Gain/Loss - Direct Investment,VO9-0VV5J,1514.0
2010-10-02,Return of Capital - Direct Investment,VO9-0VV5J,463.0
2010-10-09,Reported Market Value - Direct Asset,VO9-0VV5J,0.0
