Date,TransactionType,Fund,Value
2011-07-01,Capital Call - Direct Investment,VO9-LENXK,-2022.0
2011-07-01,Return of Capital - Direct Investment,VO9-LENXK,47.0
2011-07-11,Reported Market Value - Direct Asset,VO9-LENXK,2051.0
2011-10-09,Reported Market Value - Direct Asset,VO9-LENXK,2287.0
2012-01-08,Reported Market Value - Direct Asset,VO9-LENXK,2537.0
2012-02-04,Capital Call - Direct Investment,VO9-LENXK,-129.0
2012-02-04,Return of Capital - Direct Investment,VO9-LENXK,23.0
2012-04-04,Income - Direct Investment,VO9-LENXK,70.0
2012-04-09,Reported Market Value - Direct Asset,VO9-LENXK,2623.0
2012-06-28,Income - Direct Investment,VO9-LENXK,24.0
2012-06-28,Return of Capital - Direct Investment,VO9-LENXK,18.0
2012-06-28,Temporary Return of Capital - Direct Investment,VO9-LENXK,692.0
2012-07-10,Reported Market Value - Direct Asset,VO9-LENXK,1863.0
2012-08-04,Income - Direct Investment,VO9-LENXK,44.0
2012-08-04,Temporary Return of Capital - Direct Investment,VO9-LENXK,0.0
2012-10-08,Reported Market Value - Direct Asset,VO9-LENXK,1955.0
2013-01-07,Reported Market Value - Direct Asset,VO9-LENXK,1960.0
2013-03-14,Capital Call - Direct Investment,VO9-LENXK,-96.0
2013-04-09,Reported Market Value - Direct Asset,VO9-LENXK,1986.0
2013-05-05,Return of Capital - Direct Investment,VO9-LENXK,-2.0
2013-05-05,Income - Direct Investment,VO9-LENXK,-3.0
2013-05-05,Temporary Return of Capital - Direct Investment,VO9-LENXK,57.0
2013-05-11,Income - Direct Investment,VO9-LENXK,43.0
2013-07-10,Reported Market Value - Direct Asset,VO9-LENXK,1905.0
2013-08-14,Income - Direct Investment,VO9-LENXK,20.0
2013-10-08,Reported Market Value - Direct Asset,VO9-LENXK,1934.0
2013-11-23,Income - Direct Investment,VO9-LENXK,19.0
2014-01-07,Reported Market Value - Direct Asset,VO9-LENXK,1862.0
2014-02-22,Income - Direct Investment,VO9-LENXK,25.0
2014-02-23,Capital Call - Direct Investment,VO9-LENXK,-41.0
2014-02-23,Realized Gain/Loss - Direct Investment,VO9-LENXK,40.0
2014-02-23,Return of Capital - Direct Investment,VO9-LENXK,39.0
2014-04-09,Reported Market Value - Direct Asset,VO9-LENXK,1550.0
2014-07-02,Income - Direct Investment,VO9-LENXK,21.0
2014-07-10,Reported Market Value - Direct Asset,VO9-LENXK,2259.0
2014-10-09,Reported Market Value - Direct Asset,VO9-LENXK,2294.0
2014-11-02,Realized Gain/Loss - Direct Investment,VO9-LENXK,697.0
2014-11-02,Income - Direct Investment,VO9-LENXK,119.0
2014-11-02,Return of Capital - Direct Investment,VO9-LENXK,1338.0
2014-11-15,Realized Gain/Loss - Direct Investment,VO9-LENXK,95.0
2014-11-15,Capital Call - Direct Investment,VO9-LENXK,-4.0
2014-11-15,Return of Capital - Direct Investment,VO9-LENXK,45.0
2015-01-08,Reported Market Value - Direct Asset,VO9-LENXK,0.0
2015-02-28,Capital Call - Direct Investment,VO9-LENXK,-19.0
2015-04-10,Reported Market Value - Direct Asset,VO9-LENXK,0.0
2015-06-05,Capital Call - Direct Investment,VO9-LENXK,-1797.0
2015-06-05,Realized Gain/Loss - Direct Investment,VO9-LENXK,21.0
2015-06-05,Capital Call - Direct Investment,VO9-LENXK,-11.0
