Date,TransactionType,Fund,Value
2011-01-13,Capital Call - Direct Investment,VPI-MZNH8,-2395.0
2011-03-18,Capital Call - Direct Investment,VPI-MZNH8,-32.0
2011-04-10,Reported Market Value - Direct Asset,VPI-MZNH8,2484.0
2011-05-11,Realized Gain/Loss - Direct Investment,VPI-MZNH8,2.0
2011-05-11,Return of Capital - Direct Investment,VPI-MZNH8,5.0
2011-06-10,Return of Capital - Direct Investment,VPI-MZNH8,25.0
2011-07-10,Return of Capital - Direct Investment,VPI-MZNH8,10.0
2011-07-11,Reported Market Value - Direct Asset,VPI-MZNH8,2483.0
2011-08-11,Return of Capital - Direct Investment,VPI-MZNH8,81.0
2011-09-08,Return of Capital - Direct Investment,VPI-MZNH8,46.0
2011-10-09,Return of Capital - Direct Investment,VPI-MZNH8,12.0
2011-10-09,Reported Market Value - Direct Asset,VPI-MZNH8,3817.0
2011-11-06,Return of Capital - Direct Investment,VPI-MZNH8,24.0
2011-12-09,Realized Gain/Loss - Direct Investment,VPI-MZNH8,68.0
2011-12-09,Return of Capital - Direct Investment,VPI-MZNH8,13.0
2012-01-08,Reported Market Value - Direct Asset,VPI-MZNH8,2959.0
2012-01-08,Return of Capital - Direct Investment,VPI-MZNH8,380.0
2012-02-08,Return of Capital - Direct Investment,VPI-MZNH8,13.0
2012-02-08,Realized Gain/Loss - Direct Investment,VPI-MZNH8,23.0
2012-03-10,Return of Capital - Direct Investment,VPI-MZNH8,5.0
2012-04-09,Reported Market Value - Direct Asset,VPI-MZNH8,2909.0
2012-05-10,Return of Capital - Direct Investment,VPI-MZNH8,14.0
2012-05-10,Realized Gain/Loss - Direct Investment,VPI-MZNH8,5.0
2012-06-09,Return of Capital - Direct Investment,VPI-MZNH8,14.0
2012-06-09,Realized Gain/Loss - Direct Investment,VPI-MZNH8,2.0
2012-07-08,Realized Gain/Loss - Direct Investment,VPI-MZNH8,2.0
2012-07-08,Return of Capital - Direct Investment,VPI-MZNH8,14.0
2012-08-10,Realized Gain/Loss - Direct Investment,VPI-MZNH8,14.0
