Date,TransactionType,Fund,Value
1994-07-10,Reported Market Value - Direct Asset,W6R-LNBJU,33303.0
1994-07-10,Capital Call - Direct Investment,W6R-LNBJU,-33285.0
1994-10-09,Reported Market Value - Direct Asset,W6R-LNBJU,33334.0
1995-01-08,Reported Market Value - Direct Asset,W6R-LNBJU,35031.0
1995-04-10,Reported Market Value - Direct Asset,W6R-LNBJU,35912.0
1995-07-11,Reported Market Value - Direct Asset,W6R-LNBJU,41120.0
1995-10-09,Reported Market Value - Direct Asset,W6R-LNBJU,40506.0
1996-01-08,Reported Market Value - Direct Asset,W6R-LNBJU,40385.0
1996-04-09,Reported Market Value - Direct Asset,W6R-LNBJU,41325.0
1996-07-10,Reported Market Value - Direct Asset,W6R-LNBJU,34081.0
1996-10-08,Reported Market Value - Direct Asset,W6R-LNBJU,33987.0
1997-01-07,Reported Market Value - Direct Asset,W6R-LNBJU,34345.0
1997-04-09,Reported Market Value - Direct Asset,W6R-LNBJU,34813.0
1997-07-10,Reported Market Value - Direct Asset,W6R-LNBJU,34869.0
1997-10-08,Reported Market Value - Direct Asset,W6R-LNBJU,34827.0
1998-01-07,Reported Market Value - Direct Asset,W6R-LNBJU,29660.0
1998-04-09,Reported Market Value - Direct Asset,W6R-LNBJU,30344.0
1998-07-10,Reported Market Value - Direct Asset,W6R-LNBJU,28642.0
1998-10-09,Reported Market Value - Direct Asset,W6R-LNBJU,28944.0
1999-01-08,Reported Market Value - Direct Asset,W6R-LNBJU,29393.0
1999-04-10,Reported Market Value - Direct Asset,W6R-LNBJU,30164.0
1999-07-11,Reported Market Value - Direct Asset,W6R-LNBJU,30123.0
1999-10-09,Reported Market Value - Direct Asset,W6R-LNBJU,30057.0
2000-01-08,Reported Market Value - Direct Asset,W6R-LNBJU,30399.0
2000-04-09,Reported Market Value - Direct Asset,W6R-LNBJU,31166.0
2000-07-10,Reported Market Value - Direct Asset,W6R-LNBJU,31452.0
2000-09-27,Income - Direct Investment,W6R-LNBJU,55.0
2000-10-08,Reported Market Value - Direct Asset,W6R-LNBJU,37676.0
2000-12-01,Income - Direct Investment,W6R-LNBJU,44.0
2001-01-05,Income - Direct Investment,W6R-LNBJU,266.0
2001-01-05,Return of Capital - Direct Investment,W6R-LNBJU,94.0
2001-01-07,Reported Market Value - Direct Asset,W6R-LNBJU,37780.0
