Date,TransactionType,Fund,Value
2010-05-19,Capital Call - Direct Investment,WCX-5EVY3,-2325.0
2010-07-10,Reported Market Value - Direct Asset,WCX-5EVY3,2325.0
2010-10-09,Reported Market Value - Direct Asset,WCX-5EVY3,2325.0
2011-01-08,Reported Market Value - Direct Asset,WCX-5EVY3,2325.0
2011-01-15,Capital Call - Direct Investment,WCX-5EVY3,-286.0
2011-04-10,Reported Market Value - Direct Asset,WCX-5EVY3,2612.0
2011-07-11,Reported Market Value - Direct Asset,WCX-5EVY3,2988.0
2011-07-16,Capital Call - Direct Investment,WCX-5EVY3,-51.0
2011-10-09,Reported Market Value - Direct Asset,WCX-5EVY3,3706.0
2011-12-16,Capital Call - Direct Investment,WCX-5EVY3,-176.0
2012-01-08,Reported Market Value - Direct Asset,WCX-5EVY3,4062.0
2012-04-09,Reported Market Value - Direct Asset,WCX-5EVY3,4272.0
2012-06-27,Capital Call - Direct Investment,WCX-5EVY3,-37.0
2012-10-08,Reported Market Value - Direct Asset,WCX-5EVY3,4403.0
2012-10-11,Capital Call - Direct Investment,WCX-5EVY3,-220.0
2013-01-07,Reported Market Value - Direct Asset,WCX-5EVY3,5140.0
2013-03-07,Capital Call - Direct Investment,WCX-5EVY3,-220.0
2013-04-09,Reported Market Value - Direct Asset,WCX-5EVY3,5513.0
2013-07-05,Capital Call - Direct Investment,WCX-5EVY3,-321.0
2013-07-10,Reported Market Value - Direct Asset,WCX-5EVY3,5740.0
2013-10-08,Reported Market Value - Direct Asset,WCX-5EVY3,5813.0
2013-11-02,Capital Call - Direct Investment,WCX-5EVY3,-184.0
2014-01-07,Reported Market Value - Direct Asset,WCX-5EVY3,6290.0
2014-04-09,Reported Market Value - Direct Asset,WCX-5EVY3,6674.0
2014-07-10,Reported Market Value - Direct Asset,WCX-5EVY3,6814.0
2014-08-09,Capital Call - Direct Investment,WCX-5EVY3,-25.0
2014-10-09,Reported Market Value - Direct Asset,WCX-5EVY3,6740.0
2015-01-08,Reported Market Value - Direct Asset,WCX-5EVY3,6915.0
2015-04-10,Reported Market Value - Direct Asset,WCX-5EVY3,6944.0
2015-07-11,Reported Market Value - Direct Asset,WCX-5EVY3,6926.0
2015-10-09,Reported Market Value - Direct Asset,WCX-5EVY3,6981.0
2015-10-30,Realized Gain/Loss - Direct Investment,WCX-5EVY3,941.0
2015-10-30,Return of Capital - Direct Investment,WCX-5EVY3,1167.0
