Date,TransactionType,Fund,Value
2013-06-28,Capital Call - Direct Investment,WGJ-1MX91,-3745.0
2013-07-10,Reported Market Value - Direct Asset,WGJ-1MX91,3756.0
2013-10-08,Reported Market Value - Direct Asset,WGJ-1MX91,3707.0
2014-01-07,Reported Market Value - Direct Asset,WGJ-1MX91,3706.0
2014-04-09,Reported Market Value - Direct Asset,WGJ-1MX91,3706.0
2014-07-10,Reported Market Value - Direct Asset,WGJ-1MX91,3650.0
2014-10-03,Income - Direct Investment,WGJ-1MX91,153.0
2014-10-09,Reported Market Value - Direct Asset,WGJ-1MX91,3694.0
2015-01-08,Reported Market Value - Direct Asset,WGJ-1MX91,3568.0
2015-04-10,Reported Market Value - Direct Asset,WGJ-1MX91,3661.0
2015-07-11,Reported Market Value - Direct Asset,WGJ-1MX91,3787.0
2015-10-09,Reported Market Value - Direct Asset,WGJ-1MX91,3832.0
