Date,TransactionType,Fund,Value
2010-12-24,Capital Call - Direct Investment,WKQ-ONIK4,-666.0
2011-01-08,Reported Market Value - Direct Asset,WKQ-ONIK4,0.0
2011-02-04,Capital Call - Direct Investment,WKQ-ONIK4,-4493.0
2011-04-10,Reported Market Value - Direct Asset,WKQ-ONIK4,4360.0
2011-07-11,Reported Market Value - Direct Asset,WKQ-ONIK4,6672.0
2011-08-06,Income - Direct Investment,WKQ-ONIK4,166.0
2011-10-09,Reported Market Value - Direct Asset,WKQ-ONIK4,6302.0
2011-11-06,Return of Capital - Direct Investment,WKQ-ONIK4,166.0
2012-01-08,Reported Market Value - Direct Asset,WKQ-ONIK4,7433.0
2012-02-04,Return of Capital - Direct Investment,WKQ-ONIK4,1881.0
2012-04-09,Reported Market Value - Direct Asset,WKQ-ONIK4,5797.0
2012-05-05,Return of Capital - Direct Investment,WKQ-ONIK4,62.0
2012-07-10,Reported Market Value - Direct Asset,WKQ-ONIK4,5364.0
2012-08-08,Return of Capital - Direct Investment,WKQ-ONIK4,104.0
2012-10-08,Reported Market Value - Direct Asset,WKQ-ONIK4,5293.0
2012-11-03,Return of Capital - Direct Investment,WKQ-ONIK4,67.0
2013-01-07,Reported Market Value - Direct Asset,WKQ-ONIK4,5550.0
2013-02-03,Return of Capital - Direct Investment,WKQ-ONIK4,83.0
2013-04-09,Reported Market Value - Direct Asset,WKQ-ONIK4,5699.0
2013-05-08,Return of Capital - Direct Investment,WKQ-ONIK4,125.0
2013-07-10,Reported Market Value - Direct Asset,WKQ-ONIK4,4485.0
2013-08-08,Return of Capital - Direct Investment,WKQ-ONIK4,141.0
2013-10-08,Reported Market Value - Direct Asset,WKQ-ONIK4,4687.0
2013-11-06,Return of Capital - Direct Investment,WKQ-ONIK4,83.0
2014-01-07,Reported Market Value - Direct Asset,WKQ-ONIK4,4579.0
2014-02-05,Return of Capital - Direct Investment,WKQ-ONIK4,166.0
2014-04-09,Reported Market Value - Direct Asset,WKQ-ONIK4,4331.0
2014-05-08,Return of Capital - Direct Investment,WKQ-ONIK4,125.0
2014-07-10,Reported Market Value - Direct Asset,WKQ-ONIK4,3845.0
2014-08-08,Return of Capital - Direct Investment,WKQ-ONIK4,104.0
2014-10-09,Reported Market Value - Direct Asset,WKQ-ONIK4,3260.0
2015-01-08,Reported Market Value - Direct Asset,WKQ-ONIK4,4396.0
2015-02-06,Return of Capital - Direct Investment,WKQ-ONIK4,104.0
2015-04-10,Reported Market Value - Direct Asset,WKQ-ONIK4,4383.0
2015-05-09,Return of Capital - Direct Investment,WKQ-ONIK4,137.0
2015-07-11,Reported Market Value - Direct Asset,WKQ-ONIK4,4322.0
2015-08-09,Return of Capital - Direct Investment,WKQ-ONIK4,166.0
2015-10-09,Reported Market Value - Direct Asset,WKQ-ONIK4,4272.0
2015-11-07,Return of Capital - Direct Investment,WKQ-ONIK4,104.0
