Date,TransactionType,Fund,Value
2008-04-16,Reported Market Value,XBC-I5E4R,0.0
2008-04-17,Commitment Amount,XBC-I5E4R,11095.0
2008-08-02,Capital Call,XBC-I5E4R,-495.0
2008-09-10,Partnership Expenses,XBC-I5E4R,-15.0
2008-09-10,Management Fee,XBC-I5E4R,-54.0
2008-09-10,Capital Call,XBC-I5E4R,-2165.0
2008-10-08,Reported Market Value,XBC-I5E4R,2660.0
2008-11-12,Temporary Return of Capital,XBC-I5E4R,245.0
2009-01-07,Reported Market Value,XBC-I5E4R,2534.0
2009-01-10,Capital Call,XBC-I5E4R,-291.0
2009-01-10,Management Fee,XBC-I5E4R,-42.0
2009-01-10,Management Fee,XBC-I5E4R,17.0
2009-01-10,Partnership Expenses,XBC-I5E4R,-17.0
2009-04-05,Management Fee,XBC-I5E4R,-42.0
2009-04-05,Capital Call,XBC-I5E4R,-1529.0
2009-04-05,Partnership Expenses,XBC-I5E4R,-5.0
2009-04-05,Management Fee,XBC-I5E4R,5.0
2009-04-09,Reported Market Value,XBC-I5E4R,4236.0
2009-06-14,Management Fee,XBC-I5E4R,5.0
2009-06-14,Partnership Expenses,XBC-I5E4R,-5.0
2009-06-14,Management Fee,XBC-I5E4R,-42.0
2009-06-14,Capital Call,XBC-I5E4R,-1135.0
2009-07-10,Reported Market Value,XBC-I5E4R,3491.0
2009-10-08,Management Fee,XBC-I5E4R,-42.0
2009-10-08,Partnership Expenses,XBC-I5E4R,-4.0
2009-10-08,Management Fee,XBC-I5E4R,4.0
2009-10-08,Reported Market Value,XBC-I5E4R,3131.0
2009-10-28,Capital Call,XBC-I5E4R,-159.0
2009-11-25,Capital Call,XBC-I5E4R,-1425.0
2010-01-07,Reported Market Value,XBC-I5E4R,4528.0
2010-01-13,Management Fee,XBC-I5E4R,4.0
2010-01-13,Partnership Expenses,XBC-I5E4R,-4.0
2010-01-13,Management Fee,XBC-I5E4R,-41.0
2010-03-27,Management Fee,XBC-I5E4R,4.0
2010-03-27,Partnership Expenses,XBC-I5E4R,-4.0
2010-03-27,Management Fee,XBC-I5E4R,-38.0
2010-03-27,Capital Call,XBC-I5E4R,-672.0
2010-04-09,Reported Market Value,XBC-I5E4R,4967.0
2010-05-26,Capital Call,XBC-I5E4R,-3114.0
2010-06-27,Temporary Return of Capital,XBC-I5E4R,36.0
2010-06-27,Partnership Expenses,XBC-I5E4R,-4.0
2010-06-27,Management Fee,XBC-I5E4R,-32.0
2010-07-10,Reported Market Value,XBC-I5E4R,8030.0
2010-10-09,Reported Market Value,XBC-I5E4R,8175.0
2010-10-17,Recallable Return of Capital,XBC-I5E4R,147.0
2010-10-17,Management Fee,XBC-I5E4R,4.0
2010-10-17,Partnership Expenses,XBC-I5E4R,-4.0
2010-10-17,Management Fee,XBC-I5E4R,-33.0
2011-01-08,Partnership Expenses,XBC-I5E4R,-4.0
2011-01-08,Management Fee,XBC-I5E4R,-25.0
2011-01-08,Reported Market Value,XBC-I5E4R,11109.0
2011-03-04,Recallable Return of Capital,XBC-I5E4R,147.0
2011-04-10,Management Fee,XBC-I5E4R,-17.0
2011-04-10,Reported Market Value,XBC-I5E4R,11124.0
2011-06-02,Return of Capital,XBC-I5E4R,190.0
2011-06-02,Recallable Return of Capital,XBC-I5E4R,104.0
2011-07-07,Management Fee,XBC-I5E4R,-17.0
2011-07-11,Reported Market Value,XBC-I5E4R,12202.0
2011-10-01,Return of Capital,XBC-I5E4R,74.0
2011-10-01,Management Fee,XBC-I5E4R,-16.0
2011-10-09,Reported Market Value,XBC-I5E4R,10891.0
2011-12-17,Return of Capital,XBC-I5E4R,242.0
2011-12-17,Management Fee,XBC-I5E4R,-11.0
2012-01-08,Reported Market Value,XBC-I5E4R,10673.0
2012-03-28,Return of Capital,XBC-I5E4R,147.0
2012-03-28,Management Fee,XBC-I5E4R,-16.0
2012-04-09,Reported Market Value,XBC-I5E4R,11102.0
2012-06-22,Return of Capital,XBC-I5E4R,147.0
2012-06-22,Management Fee,XBC-I5E4R,-16.0
2012-07-10,Reported Market Value,XBC-I5E4R,11430.0
2012-09-29,Return of Capital,XBC-I5E4R,147.0
2012-09-29,Management Fee,XBC-I5E4R,-14.0
2012-10-08,Reported Market Value,XBC-I5E4R,10993.0
2013-01-04,Return of Capital,XBC-I5E4R,147.0
2013-01-04,Management Fee,XBC-I5E4R,-15.0
2013-01-07,Reported Market Value,XBC-I5E4R,11939.0
2013-04-05,Return of Capital,XBC-I5E4R,147.0
2013-04-05,Management Fee,XBC-I5E4R,-16.0
2013-04-09,Reported Market Value,XBC-I5E4R,12231.0
2013-06-26,Return of Capital,XBC-I5E4R,147.0
2013-06-26,Management Fee,XBC-I5E4R,-15.0
2013-07-10,Reported Market Value,XBC-I5E4R,9581.0
2013-10-04,Return of Capital,XBC-I5E4R,74.0
2013-10-06,Management Fee,XBC-I5E4R,-13.0
2013-10-08,Reported Market Value,XBC-I5E4R,10920.0
2014-01-03,Return of Capital,XBC-I5E4R,74.0
