Date,TransactionType,Fund,Value
2013-01-23,Capital Call - Direct Investment,XE5-2J046,-7538.0
2013-03-24,Income - Direct Investment,XE5-2J046,11.0
2013-03-24,Temporary Return of Capital - Direct Investment,XE5-2J046,2265.0
2013-04-09,Reported Market Value - Direct Asset,XE5-2J046,6581.0
2013-07-10,Reported Market Value - Direct Asset,XE5-2J046,2888.0
2013-08-08,Income - Direct Investment,XE5-2J046,124.0
2013-10-19,Income - Direct Investment,XE5-2J046,59.0
2014-01-07,Reported Market Value - Direct Asset,XE5-2J046,3306.0
2014-01-10,Income - Direct Investment,XE5-2J046,62.0
2014-04-09,Reported Market Value - Direct Asset,XE5-2J046,2521.0
2014-05-08,Income - Direct Investment,XE5-2J046,56.0
2014-06-20,Income - Direct Investment,XE5-2J046,57.0
2014-07-10,Reported Market Value - Direct Asset,XE5-2J046,1231.0
2014-10-09,Reported Market Value - Direct Asset,XE5-2J046,0.0
2015-01-08,Reported Market Value - Direct Asset,XE5-2J046,0.0
2015-04-10,Reported Market Value - Direct Asset,XE5-2J046,0.0
2015-07-11,Reported Market Value - Direct Asset,XE5-2J046,0.0
2015-10-09,Reported Market Value - Direct Asset,XE5-2J046,240.0
