Date,TransactionType,Fund,Value
2002-01-05,Capital Call - Direct Investment,XFV-FTXTE,-2979.0
2002-01-07,Reported Market Value - Direct Asset,XFV-FTXTE,3024.0
2002-04-09,Reported Market Value - Direct Asset,XFV-FTXTE,3852.0
2002-04-28,Return of Capital - Direct Investment,XFV-FTXTE,42.0
2002-05-04,Capital Call - Direct Investment,XFV-FTXTE,-824.0
2002-06-28,Income - Direct Investment,XFV-FTXTE,71.0
2002-07-10,Reported Market Value - Direct Asset,XFV-FTXTE,3816.0
2002-10-09,Reported Market Value - Direct Asset,XFV-FTXTE,3816.0
2002-10-12,Capital Call - Direct Investment,XFV-FTXTE,-801.0
2002-10-30,Capital Call - Direct Investment,XFV-FTXTE,-153.0
2002-10-30,Capital Call - Direct Investment,XFV-FTXTE,-458.0
2003-01-08,Reported Market Value - Direct Asset,XFV-FTXTE,5193.0
2003-04-10,Reported Market Value - Direct Asset,XFV-FTXTE,5452.0
2003-07-11,Reported Market Value - Direct Asset,XFV-FTXTE,5013.0
2003-07-18,Capital Call - Direct Investment,XFV-FTXTE,-69.0
2003-10-09,Reported Market Value - Direct Asset,XFV-FTXTE,4845.0
2004-01-08,Reported Market Value - Direct Asset,XFV-FTXTE,5600.0
2004-04-09,Reported Market Value - Direct Asset,XFV-FTXTE,6182.0
2004-04-10,Return of Capital - Direct Investment,XFV-FTXTE,529.0
2004-04-10,Income - Direct Investment,XFV-FTXTE,11.0
2004-06-27,Capital Call - Direct Investment,XFV-FTXTE,-10.0
2004-06-30,Return of Capital - Direct Investment,XFV-FTXTE,89.0
2004-06-30,Income - Direct Investment,XFV-FTXTE,5.0
2004-07-10,Reported Market Value - Direct Asset,XFV-FTXTE,5874.0
2004-10-08,Reported Market Value - Direct Asset,XFV-FTXTE,6305.0
2004-12-29,Return of Capital - Direct Investment,XFV-FTXTE,178.0
2004-12-29,Return of Capital - Direct Investment,XFV-FTXTE,42.0
2005-01-07,Reported Market Value - Direct Asset,XFV-FTXTE,5986.0
2005-04-09,Reported Market Value - Direct Asset,XFV-FTXTE,6423.0
2005-06-24,Capital Call - Direct Investment,XFV-FTXTE,-4.0
2005-06-24,Capital Call - Direct Investment,XFV-FTXTE,-17.0
2005-07-08,Return of Capital - Direct Investment,XFV-FTXTE,104.0
2005-07-08,Return of Capital - Direct Investment,XFV-FTXTE,24.0
2005-07-10,Reported Market Value - Direct Asset,XFV-FTXTE,6389.0
2005-10-08,Capital Call - Direct Investment,XFV-FTXTE,-2.0
2005-10-08,Capital Call - Direct Investment,XFV-FTXTE,-10.0
2005-10-08,Reported Market Value - Direct Asset,XFV-FTXTE,6797.0
2006-01-07,Return of Capital - Direct Investment,XFV-FTXTE,153.0
2006-01-07,Return of Capital - Direct Investment,XFV-FTXTE,36.0
2006-01-07,Reported Market Value - Direct Asset,XFV-FTXTE,7625.0
2006-04-07,Capital Call - Direct Investment,XFV-FTXTE,-4.0
2006-04-07,Capital Call - Direct Investment,XFV-FTXTE,-15.0
2006-04-09,Reported Market Value - Direct Asset,XFV-FTXTE,7703.0
2006-07-07,Return of Capital - Direct Investment,XFV-FTXTE,150.0
2006-07-07,Return of Capital - Direct Investment,XFV-FTXTE,36.0
2006-07-07,Capital Call - Direct Investment,XFV-FTXTE,-26.0
2006-07-07,Capital Call - Direct Investment,XFV-FTXTE,-6.0
2006-07-10,Reported Market Value - Direct Asset,XFV-FTXTE,8769.0
2006-10-09,Reported Market Value - Direct Asset,XFV-FTXTE,8890.0
2007-01-08,Reported Market Value - Direct Asset,XFV-FTXTE,8312.0
2007-01-18,Capital Call - Direct Investment,XFV-FTXTE,-7.0
2007-01-18,Capital Call - Direct Investment,XFV-FTXTE,-23.0
2007-01-18,Return of Capital - Direct Investment,XFV-FTXTE,38.0
2007-01-18,Return of Capital - Direct Investment,XFV-FTXTE,161.0
2007-04-10,Reported Market Value - Direct Asset,XFV-FTXTE,8692.0
2007-07-07,Return of Capital - Direct Investment,XFV-FTXTE,188.0
2007-07-07,Capital Call - Direct Investment,XFV-FTXTE,-12.0
2007-07-07,Capital Call - Direct Investment,XFV-FTXTE,-30.0
2007-07-07,Return of Capital - Direct Investment,XFV-FTXTE,40.0
2007-07-07,Return of Capital - Direct Investment,XFV-FTXTE,30.0
2007-07-07,Return of Capital - Direct Investment,XFV-FTXTE,12.0
2007-07-11,Reported Market Value - Direct Asset,XFV-FTXTE,9477.0
