Date,TransactionType,Fund,Value
2011-01-08,Capital Call - Direct Investment,XJZ-BZPD2,0.0
2011-01-21,Capital Call - Direct Investment,XJZ-BZPD2,-6.0
2011-01-22,Capital Call - Direct Investment,XJZ-BZPD2,-5.0
2011-01-23,Capital Call - Direct Investment,XJZ-BZPD2,-1.0
2011-01-26,Capital Call - Direct Investment,XJZ-BZPD2,-3.0
2011-01-27,Capital Call - Direct Investment,XJZ-BZPD2,-2.0
2011-01-28,Capital Call - Direct Investment,XJZ-BZPD2,-2.0
2011-01-29,Capital Call - Direct Investment,XJZ-BZPD2,-4.0
2011-01-30,Capital Call - Direct Investment,XJZ-BZPD2,-6.0
2011-02-02,Capital Call - Direct Investment,XJZ-BZPD2,-3.0
2011-02-03,Capital Call - Direct Investment,XJZ-BZPD2,-2.0
2011-02-04,Capital Call - Direct Investment,XJZ-BZPD2,-6.0
2011-02-05,Capital Call - Direct Investment,XJZ-BZPD2,-10.0
2011-02-06,Capital Call - Direct Investment,XJZ-BZPD2,-3.0
2011-02-09,Capital Call - Direct Investment,XJZ-BZPD2,-11.0
2011-02-10,Capital Call - Direct Investment,XJZ-BZPD2,-21.0
2011-02-11,Capital Call - Direct Investment,XJZ-BZPD2,-13.0
2011-02-12,Capital Call - Direct Investment,XJZ-BZPD2,-8.0
2011-02-13,Capital Call - Direct Investment,XJZ-BZPD2,-5.0
2011-03-09,Income - Direct Investment,XJZ-BZPD2,5.0
2011-04-10,Reported Market Value - Direct Asset,XJZ-BZPD2,192.0
2011-06-10,Return of Capital - Direct Investment,XJZ-BZPD2,3.0
2011-06-10,Income - Direct Investment,XJZ-BZPD2,2.0
2011-07-11,Reported Market Value - Direct Asset,XJZ-BZPD2,221.0
2011-09-28,Return of Capital - Direct Investment,XJZ-BZPD2,5.0
2011-09-28,Income - Direct Investment,XJZ-BZPD2,2.0
2011-10-09,Reported Market Value - Direct Asset,XJZ-BZPD2,302.0
2011-12-04,Return of Capital - Direct Investment,XJZ-BZPD2,6.0
2011-12-04,Income - Direct Investment,XJZ-BZPD2,2.0
2012-01-08,Reported Market Value - Direct Asset,XJZ-BZPD2,422.0
2012-03-07,Return of Capital - Direct Investment,XJZ-BZPD2,6.0
2012-03-07,Income - Direct Investment,XJZ-BZPD2,4.0
2012-04-09,Reported Market Value - Direct Asset,XJZ-BZPD2,535.0
2012-05-27,Income - Direct Investment,XJZ-BZPD2,8.0
2012-05-27,Return of Capital - Direct Investment,XJZ-BZPD2,4.0
2012-07-10,Reported Market Value - Direct Asset,XJZ-BZPD2,710.0
2012-10-04,Return of Capital - Direct Investment,XJZ-BZPD2,7.0
2012-10-04,Income - Direct Investment,XJZ-BZPD2,5.0
2012-10-08,Reported Market Value - Direct Asset,XJZ-BZPD2,597.0
2012-12-06,Income - Direct Investment,XJZ-BZPD2,20.0
2013-01-07,Reported Market Value - Direct Asset,XJZ-BZPD2,1090.0
2013-03-07,Income - Direct Investment,XJZ-BZPD2,12.0
2013-03-07,Return of Capital - Direct Investment,XJZ-BZPD2,12.0
2013-04-09,Reported Market Value - Direct Asset,XJZ-BZPD2,1323.0
2013-06-06,Income - Direct Investment,XJZ-BZPD2,26.0
2013-06-13,Capital Call - Direct Investment,XJZ-BZPD2,-559.0
2013-07-10,Reported Market Value - Direct Asset,XJZ-BZPD2,1641.0
2013-10-04,Income - Direct Investment,XJZ-BZPD2,46.0
2013-10-08,Reported Market Value - Direct Asset,XJZ-BZPD2,2373.0
2013-12-05,Income - Direct Investment,XJZ-BZPD2,57.0
2014-01-07,Reported Market Value - Direct Asset,XJZ-BZPD2,2589.0
2014-03-06,Income - Direct Investment,XJZ-BZPD2,52.0
2014-04-09,Reported Market Value - Direct Asset,XJZ-BZPD2,2378.0
2014-06-06,Income - Direct Investment,XJZ-BZPD2,35.0
2014-07-10,Reported Market Value - Direct Asset,XJZ-BZPD2,2056.0
2014-10-03,Income - Direct Investment,XJZ-BZPD2,38.0
2014-10-09,Reported Market Value - Direct Asset,XJZ-BZPD2,946.0
2014-10-11,Capital Call - Direct Investment,XJZ-BZPD2,-13.0
2014-10-16,Capital Call - Direct Investment,XJZ-BZPD2,-650.0
2014-12-05,Income - Direct Investment,XJZ-BZPD2,70.0
2015-01-08,Reported Market Value - Direct Asset,XJZ-BZPD2,2765.0
2015-03-11,Income - Direct Investment,XJZ-BZPD2,70.0
2015-04-10,Reported Market Value - Direct Asset,XJZ-BZPD2,3775.0
2015-07-11,Reported Market Value - Direct Asset,XJZ-BZPD2,5620.0
2015-10-09,Reported Market Value - Direct Asset,XJZ-BZPD2,7152.0
