Date,TransactionType,Fund,Value
2010-06-03,Capital Call - Direct Investment,XQ6-UIMCZ,-118.0
2010-07-10,Reported Market Value - Direct Asset,XQ6-UIMCZ,126.0
2010-10-09,Reported Market Value - Direct Asset,XQ6-UIMCZ,101.0
2011-01-08,Reported Market Value - Direct Asset,XQ6-UIMCZ,82.0
2011-04-10,Reported Market Value - Direct Asset,XQ6-UIMCZ,70.0
2011-07-11,Reported Market Value - Direct Asset,XQ6-UIMCZ,78.0
2011-10-09,Reported Market Value - Direct Asset,XQ6-UIMCZ,88.0
2012-01-08,Reported Market Value - Direct Asset,XQ6-UIMCZ,97.0
2012-04-09,Reported Market Value - Direct Asset,XQ6-UIMCZ,112.0
2012-07-10,Reported Market Value - Direct Asset,XQ6-UIMCZ,103.0
2012-10-08,Reported Market Value - Direct Asset,XQ6-UIMCZ,92.0
2013-01-07,Reported Market Value - Direct Asset,XQ6-UIMCZ,0.0
2013-01-18,Return of Capital - Direct Investment,XQ6-UIMCZ,95.0
2014-01-07,Reported Market Value - Direct Asset,XQ6-UIMCZ,0.0
2014-04-09,Reported Market Value - Direct Asset,XQ6-UIMCZ,0.0
2014-07-10,Reported Market Value - Direct Asset,XQ6-UIMCZ,0.0
2014-10-09,Reported Market Value - Direct Asset,XQ6-UIMCZ,0.0
2015-01-08,Reported Market Value - Direct Asset,XQ6-UIMCZ,0.0
2015-04-10,Reported Market Value - Direct Asset,XQ6-UIMCZ,0.0
