Date,TransactionType,Fund,Value
2013-01-06,Capital Call - Direct Investment,XRN-4MAO1,-414.0
2013-04-08,Capital Call - Direct Investment,XRN-4MAO1,-728.0
2013-07-09,Capital Call - Direct Investment,XRN-4MAO1,-628.0
2013-10-07,Capital Call - Direct Investment,XRN-4MAO1,-285.0
2014-01-06,Capital Call - Direct Investment,XRN-4MAO1,0.0
2014-04-08,Capital Call - Direct Investment,XRN-4MAO1,0.0
2014-04-09,Reported Market Value - Direct Asset,XRN-4MAO1,2056.0
2014-05-25,Capital Call - Direct Investment,XRN-4MAO1,-185.0
2014-07-10,Reported Market Value - Direct Asset,XRN-4MAO1,2302.0
2014-07-10,Reported Market Value - Direct Asset,XRN-4MAO1,2302.0
2014-10-09,Reported Market Value - Direct Asset,XRN-4MAO1,2379.0
2015-01-03,Income - Direct Investment,XRN-4MAO1,100.0
2015-01-08,Reported Market Value - Direct Asset,XRN-4MAO1,2268.0
2015-04-10,Reported Market Value - Direct Asset,XRN-4MAO1,2298.0
2015-04-10,Income - Direct Investment,XRN-4MAO1,23.0
2015-06-26,Income - Direct Investment,XRN-4MAO1,36.0
2015-07-11,Reported Market Value - Direct Asset,XRN-4MAO1,2565.0
2015-10-02,Income - Direct Investment,XRN-4MAO1,36.0
2015-10-09,Reported Market Value - Direct Asset,XRN-4MAO1,2565.0
2015-11-18,Income - Direct Investment,XRN-4MAO1,1.0
