Date,TransactionType,Fund,Value
2014-04-23,Reported Market Value,XTI-WJPH2,0.0
2014-04-24,Commitment Amount,XTI-WJPH2,11095.0
2014-06-18,Return of Management Fees,XTI-WJPH2,22.0
2014-06-18,Capital Call,XTI-WJPH2,-932.0
2014-06-18,Late Closing Interest - Contribution,XTI-WJPH2,-13.0
2014-07-10,Reported Market Value,XTI-WJPH2,863.0
2014-09-05,Temporary Return of Capital,XTI-WJPH2,355.0
2014-10-09,Reported Market Value,XTI-WJPH2,453.0
2015-01-08,Reported Market Value,XTI-WJPH2,430.0
2015-01-23,Return of Management Fees,XTI-WJPH2,28.0
2015-01-23,Capital Call,XTI-WJPH2,-754.0
2015-04-10,Reported Market Value,XTI-WJPH2,1028.0
2015-05-24,Return of Management Fees,XTI-WJPH2,28.0
2015-05-24,Capital Call,XTI-WJPH2,-111.0
2015-07-09,Capital Call,XTI-WJPH2,-122.0
2015-07-11,Reported Market Value,XTI-WJPH2,1571.0
2015-08-22,Capital Call,XTI-WJPH2,-777.0
2015-08-22,Return of Management Fees,XTI-WJPH2,14.0
2015-10-04,Capital Call,XTI-WJPH2,-388.0
2015-10-09,Reported Market Value,XTI-WJPH2,2508.0
2016-01-07,Return of Management Fees,XTI-WJPH2,14.0
2016-01-07,Capital Call,XTI-WJPH2,-472.0
