Date,TransactionType,Fund,Value
2011-12-01,Reported Market Value,XTX-K75G1,0.0
2011-12-02,Capital Call,XTX-K75G1,-10093.0
2011-12-02,Late Closing Interest - Contribution,XTX-K75G1,-310.0
2011-12-02,Capital Call,XTX-K75G1,-2215.0
2011-12-02,Management Fee,XTX-K75G1,-403.0
2011-12-02,Commitment Amount,XTX-K75G1,22190.0
2011-12-02,Partnership Expenses,XTX-K75G1,-52.0
2012-01-08,Reported Market Value,XTX-K75G1,12503.0
2012-02-01,Temporary Return of Capital,XTX-K75G1,2383.0
2012-02-01,Late Closing Interest - Distribution,XTX-K75G1,87.0
2012-02-01,Management Fee,XTX-K75G1,-92.0
2012-02-01,Capital Call,XTX-K75G1,-1251.0
2012-03-15,Temporary Return of Capital,XTX-K75G1,990.0
2012-03-15,Late Closing Interest - Distribution,XTX-K75G1,41.0
2012-04-09,Reported Market Value,XTX-K75G1,11084.0
2012-04-11,Management Fee,XTX-K75G1,-92.0
2012-04-11,Temporary Return of Capital,XTX-K75G1,707.0
2012-04-11,Late Closing Interest - Distribution,XTX-K75G1,34.0
2012-04-22,Capital Call,XTX-K75G1,-1138.0
2012-05-12,Capital Call,XTX-K75G1,-759.0
2012-05-20,Recallable Return of Capital,XTX-K75G1,1394.0
2012-05-20,Income,XTX-K75G1,109.0
2012-06-03,Capital Call,XTX-K75G1,-1224.0
2012-06-09,Temporary Return of Capital,XTX-K75G1,439.0
2012-06-09,Late Closing Interest - Distribution,XTX-K75G1,19.0
2012-06-27,Temporary Return of Capital,XTX-K75G1,1039.0
2012-06-27,Late Closing Interest - Distribution,XTX-K75G1,49.0
2012-07-06,Management Fee,XTX-K75G1,-92.0
2012-07-06,Capital Call,XTX-K75G1,-233.0
2012-07-06,Late Closing Interest - Distribution,XTX-K75G1,28.0
2012-07-06,Temporary Return of Capital,XTX-K75G1,546.0
2012-07-10,Reported Market Value,XTX-K75G1,10480.0
2012-08-16,Capital Call,XTX-K75G1,-203.0
2012-08-16,Temporary Return of Capital,XTX-K75G1,1752.0
2012-08-16,Late Closing Interest - Distribution,XTX-K75G1,102.0
2012-09-26,Capital Call,XTX-K75G1,-1135.0
2012-10-04,Management Fee,XTX-K75G1,-92.0
2012-10-04,Capital Call,XTX-K75G1,-521.0
2012-10-08,Reported Market Value,XTX-K75G1,10222.0
2012-10-21,Capital Call,XTX-K75G1,-1268.0
2013-01-06,Capital Call,XTX-K75G1,-190.0
2013-01-06,Management Fee,XTX-K75G1,-92.0
2013-01-06,Recallable Return of Capital,XTX-K75G1,773.0
2013-01-07,Reported Market Value,XTX-K75G1,10976.0
2013-02-02,Capital Call,XTX-K75G1,-63.0
2013-02-17,Capital Call,XTX-K75G1,-615.0
2013-03-10,Capital Call,XTX-K75G1,-2185.0
2013-03-27,Capital Call,XTX-K75G1,-263.0
2013-03-27,Partnership Expenses,XTX-K75G1,-9.0
2013-04-03,Capital Call,XTX-K75G1,-246.0
2013-04-09,Reported Market Value,XTX-K75G1,14335.0
2013-04-13,Management Fee,XTX-K75G1,-92.0
2013-05-18,Capital Call,XTX-K75G1,-244.0
2013-06-14,Capital Call,XTX-K75G1,-249.0
2013-06-26,Capital Call,XTX-K75G1,-545.0
2013-07-10,Reported Market Value,XTX-K75G1,16840.0
2013-07-14,Capital Call,XTX-K75G1,-254.0
2013-07-27,Capital Call,XTX-K75G1,-50.0
2013-08-30,Recallable Return of Capital,XTX-K75G1,185.0
2013-08-30,Partnership Expenses,XTX-K75G1,-85.0
2013-08-30,Capital Call,XTX-K75G1,-434.0
2013-09-08,Capital Call,XTX-K75G1,-323.0
2013-10-02,Capital Call,XTX-K75G1,-82.0
2013-10-08,Reported Market Value,XTX-K75G1,18385.0
