Date,TransactionType,Fund,Value
2008-06-13,Capital Call - Direct Investment,Y1L-B244F,-4115.0
2008-07-06,Return of Capital - Direct Investment,Y1L-B244F,26.0
2008-07-10,Reported Market Value - Direct Asset,Y1L-B244F,4210.0
2008-07-13,Capital Call - Direct Investment,Y1L-B244F,-26.0
2008-09-13,Capital Call - Direct Investment,Y1L-B244F,-1273.0
2008-10-08,Reported Market Value - Direct Asset,Y1L-B244F,7490.0
2008-10-16,Capital Call - Direct Investment,Y1L-B244F,-64.0
2008-10-16,Income - Direct Investment,Y1L-B244F,57.0
2009-01-07,Reported Market Value - Direct Asset,Y1L-B244F,8141.0
2009-01-23,Income - Direct Investment,Y1L-B244F,27.0
2009-01-23,Capital Call - Direct Investment,Y1L-B244F,-62.0
2009-01-23,Return of Capital - Direct Investment,Y1L-B244F,35.0
2009-04-09,Reported Market Value - Direct Asset,Y1L-B244F,8293.0
2009-05-02,Return of Capital - Direct Investment,Y1L-B244F,66.0
2009-07-02,Return of Capital - Direct Investment,Y1L-B244F,85.0
2009-07-10,Reported Market Value - Direct Asset,Y1L-B244F,8836.0
2009-10-08,Reported Market Value - Direct Asset,Y1L-B244F,11441.0
2009-10-14,Return of Capital - Direct Investment,Y1L-B244F,86.0
2010-01-07,Reported Market Value - Direct Asset,Y1L-B244F,12136.0
2010-01-14,Income - Direct Investment,Y1L-B244F,36.0
2010-01-14,Return of Capital - Direct Investment,Y1L-B244F,139.0
2010-04-09,Reported Market Value - Direct Asset,Y1L-B244F,12559.0
2010-04-15,Capital Call - Direct Investment,Y1L-B244F,-162.0
2010-04-15,Income - Direct Investment,Y1L-B244F,2.0
2010-04-15,Return of Capital - Direct Investment,Y1L-B244F,175.0
2010-07-08,Capital Call - Direct Investment,Y1L-B244F,-356.0
2010-07-08,Return of Capital - Direct Investment,Y1L-B244F,158.0
2010-07-10,Reported Market Value - Direct Asset,Y1L-B244F,12213.0
2010-10-09,Reported Market Value - Direct Asset,Y1L-B244F,11461.0
2010-10-16,Capital Call - Direct Investment,Y1L-B244F,-143.0
2010-10-16,Return of Capital - Direct Investment,Y1L-B244F,132.0
2011-01-08,Reported Market Value - Direct Asset,Y1L-B244F,11214.0
2011-01-14,Capital Call - Direct Investment,Y1L-B244F,-107.0
2011-01-14,Return of Capital - Direct Investment,Y1L-B244F,109.0
2011-04-10,Reported Market Value - Direct Asset,Y1L-B244F,11096.0
2011-04-16,Return of Capital - Direct Investment,Y1L-B244F,73.0
2011-07-11,Reported Market Value - Direct Asset,Y1L-B244F,9753.0
2011-07-16,Return of Capital - Direct Investment,Y1L-B244F,50.0
2011-10-09,Reported Market Value - Direct Asset,Y1L-B244F,10011.0
2011-11-06,Capital Call - Direct Investment,Y1L-B244F,-59.0
2011-11-06,Return of Capital - Direct Investment,Y1L-B244F,53.0
2012-01-08,Reported Market Value - Direct Asset,Y1L-B244F,10086.0
2012-01-14,Capital Call - Direct Investment,Y1L-B244F,-42.0
2012-01-14,Return of Capital - Direct Investment,Y1L-B244F,42.0
2012-04-09,Reported Market Value - Direct Asset,Y1L-B244F,9968.0
2012-04-20,Return of Capital - Direct Investment,Y1L-B244F,89.0
2012-07-10,Reported Market Value - Direct Asset,Y1L-B244F,9901.0
2012-07-28,Capital Call - Direct Investment,Y1L-B244F,-107.0
2012-07-28,Return of Capital - Direct Investment,Y1L-B244F,103.0
2012-10-08,Reported Market Value - Direct Asset,Y1L-B244F,10030.0
2012-10-17,Capital Call - Direct Investment,Y1L-B244F,-116.0
2013-01-07,Reported Market Value - Direct Asset,Y1L-B244F,10234.0
2013-04-09,Reported Market Value - Direct Asset,Y1L-B244F,9915.0
2013-04-19,Return of Capital - Direct Investment,Y1L-B244F,121.0
2013-07-10,Reported Market Value - Direct Asset,Y1L-B244F,9853.0
2013-07-26,Return of Capital - Direct Investment,Y1L-B244F,136.0
2013-10-08,Reported Market Value - Direct Asset,Y1L-B244F,9861.0
2013-10-20,Return of Capital - Direct Investment,Y1L-B244F,161.0
2014-01-07,Reported Market Value - Direct Asset,Y1L-B244F,9941.0
2014-01-18,Return of Capital - Direct Investment,Y1L-B244F,153.0
2014-04-09,Reported Market Value - Direct Asset,Y1L-B244F,9603.0
2014-05-11,Return of Capital - Direct Investment,Y1L-B244F,1.0
2014-05-11,Return of Capital - Direct Investment,Y1L-B244F,166.0
2014-07-10,Reported Market Value - Direct Asset,Y1L-B244F,9511.0
2014-08-01,Return of Capital - Direct Investment,Y1L-B244F,198.0
2014-10-09,Reported Market Value - Direct Asset,Y1L-B244F,7964.0
2015-01-08,Reported Market Value - Direct Asset,Y1L-B244F,7726.0
2015-02-12,Return of Capital - Direct Investment,Y1L-B244F,399.0
2015-04-10,Reported Market Value - Direct Asset,Y1L-B244F,7760.0
2015-05-07,Return of Capital - Direct Investment,Y1L-B244F,264.0
2015-07-11,Reported Market Value - Direct Asset,Y1L-B244F,7586.0
2015-08-09,Return of Capital - Direct Investment,Y1L-B244F,200.0
2015-10-09,Reported Market Value - Direct Asset,Y1L-B244F,6596.0
2015-11-15,Return of Capital - Direct Investment,Y1L-B244F,270.0
