Date,TransactionType,Fund,Value
2011-07-11,Reported Market Value - Direct Asset,Y39-G6GA1,0.0
2011-10-09,Reported Market Value - Direct Asset,Y39-G6GA1,0.0
2012-01-08,Reported Market Value - Direct Asset,Y39-G6GA1,0.0
2012-04-09,Reported Market Value - Direct Asset,Y39-G6GA1,0.0
2012-07-10,Reported Market Value - Direct Asset,Y39-G6GA1,0.0
2012-10-08,Reported Market Value - Direct Asset,Y39-G6GA1,0.0
2013-01-07,Reported Market Value - Direct Asset,Y39-G6GA1,0.0
2013-04-09,Reported Market Value - Direct Asset,Y39-G6GA1,-0.0
2013-07-10,Reported Market Value - Direct Asset,Y39-G6GA1,-0.0
2013-10-08,Reported Market Value - Direct Asset,Y39-G6GA1,-0.0
2014-01-07,Reported Market Value - Direct Asset,Y39-G6GA1,-0.0
2014-04-09,Reported Market Value - Direct Asset,Y39-G6GA1,-0.0
2014-07-10,Reported Market Value - Direct Asset,Y39-G6GA1,-0.0
2014-10-09,Reported Market Value - Direct Asset,Y39-G6GA1,-0.0
2015-01-08,Reported Market Value - Direct Asset,Y39-G6GA1,-0.0
2015-04-10,Reported Market Value - Direct Asset,Y39-G6GA1,-0.0
2015-07-11,Reported Market Value - Direct Asset,Y39-G6GA1,-0.0
2015-10-09,Reported Market Value - Direct Asset,Y39-G6GA1,-0.0
