Date,TransactionType,Fund,Value
2014-12-06,Capital Call - Direct Investment,Y3H-Y7ZQQ,-1087.0
2015-01-08,Reported Market Value - Direct Asset,Y3H-Y7ZQQ,1087.0
2015-04-10,Reported Market Value - Direct Asset,Y3H-Y7ZQQ,1051.0
2015-07-11,Reported Market Value - Direct Asset,Y3H-Y7ZQQ,1086.0
2015-08-22,Temporary Return of Capital - Direct Investment,Y3H-Y7ZQQ,26.0
2015-10-09,Reported Market Value - Direct Asset,Y3H-Y7ZQQ,1082.0
2015-10-24,Income - Direct Investment,Y3H-Y7ZQQ,5.0
2015-10-24,Return of Capital - Direct Investment,Y3H-Y7ZQQ,4.0
2015-10-24,Income - Direct Investment,Y3H-Y7ZQQ,43.0
2015-12-25,Income - Direct Investment,Y3H-Y7ZQQ,16.0
