Date,TransactionType,Fund,Value
2010-04-22,Capital Call - Direct Investment,Y6F-8GNUC,-227.0
2010-07-10,Reported Market Value - Direct Asset,Y6F-8GNUC,229.0
2010-07-21,Capital Call - Direct Investment,Y6F-8GNUC,-2.0
2010-09-17,Capital Call - Direct Investment,Y6F-8GNUC,-350.0
2010-10-09,Reported Market Value - Direct Asset,Y6F-8GNUC,583.0
2010-10-31,Capital Call - Direct Investment,Y6F-8GNUC,-274.0
2011-01-08,Reported Market Value - Direct Asset,Y6F-8GNUC,858.0
2011-04-10,Reported Market Value - Direct Asset,Y6F-8GNUC,858.0
2011-07-11,Reported Market Value - Direct Asset,Y6F-8GNUC,858.0
2011-10-09,Reported Market Value - Direct Asset,Y6F-8GNUC,1200.0
2011-12-01,Capital Call - Direct Investment,Y6F-8GNUC,-125.0
2012-01-08,Reported Market Value - Direct Asset,Y6F-8GNUC,1248.0
2012-02-12,Income - Direct Investment,Y6F-8GNUC,141.0
2012-04-09,Reported Market Value - Direct Asset,Y6F-8GNUC,1248.0
2012-07-10,Reported Market Value - Direct Asset,Y6F-8GNUC,1321.0
2012-10-08,Reported Market Value - Direct Asset,Y6F-8GNUC,1229.0
2012-11-03,Income - Direct Investment,Y6F-8GNUC,108.0
2013-01-07,Reported Market Value - Direct Asset,Y6F-8GNUC,1229.0
2013-04-09,Reported Market Value - Direct Asset,Y6F-8GNUC,1305.0
2013-04-27,Income - Direct Investment,Y6F-8GNUC,82.0
2013-05-25,Income - Direct Investment,Y6F-8GNUC,5.0
2013-07-10,Reported Market Value - Direct Asset,Y6F-8GNUC,1305.0
2013-07-27,Income - Direct Investment,Y6F-8GNUC,2.0
2013-10-08,Reported Market Value - Direct Asset,Y6F-8GNUC,1272.0
2013-10-23,Income - Direct Investment,Y6F-8GNUC,46.0
2013-11-23,Income - Direct Investment,Y6F-8GNUC,5.0
2014-01-07,Reported Market Value - Direct Asset,Y6F-8GNUC,1353.0
2014-02-07,Income - Direct Investment,Y6F-8GNUC,15.0
2014-04-09,Reported Market Value - Direct Asset,Y6F-8GNUC,0.0
2014-04-09,Reported Market Value - Direct Asset,Y6F-8GNUC,984.0
2014-04-24,Return of Capital - Direct Investment,Y6F-8GNUC,984.0
2014-04-24,Realized Gain/Loss - Direct Investment,Y6F-8GNUC,336.0
2014-04-24,Income - Direct Investment,Y6F-8GNUC,34.0
2014-07-10,Reported Market Value - Direct Asset,Y6F-8GNUC,0.0
2014-07-10,Reported Market Value - Direct Asset,Y6F-8GNUC,0.0
2014-10-09,Reported Market Value - Direct Asset,Y6F-8GNUC,0.0
2014-10-30,Realized Gain/Loss - Direct Investment,Y6F-8GNUC,7.0
2015-01-08,Reported Market Value - Direct Asset,Y6F-8GNUC,0.0
2015-04-10,Reported Market Value - Direct Asset,Y6F-8GNUC,0.0
