Date,TransactionType,Fund,Value
2009-03-05,Reported Market Value,YDH-O4DPS,0.0
2009-03-06,Commitment Amount,YDH-O4DPS,11095.0
2009-03-14,Late Closing Interest - Contribution,YDH-O4DPS,-14.0
2009-03-14,Partnership Expenses,YDH-O4DPS,-49.0
2009-03-14,Capital Call,YDH-O4DPS,-614.0
2009-03-14,Management Fee,YDH-O4DPS,-12.0
2009-04-09,Reported Market Value,YDH-O4DPS,656.0
2009-06-10,Capital Call,YDH-O4DPS,-295.0
2009-07-08,Recallable Return of Partnership Expenses,YDH-O4DPS,1.0
2009-07-08,Late Closing Interest - Distribution,YDH-O4DPS,1.0
2009-07-08,Recallable Return of Management Fees,YDH-O4DPS,0.0
2009-07-08,Recallable Return of Capital,YDH-O4DPS,20.0
2009-07-10,Reported Market Value,YDH-O4DPS,845.0
2009-10-08,Reported Market Value,YDH-O4DPS,778.0
2009-11-13,Partnership Expenses,YDH-O4DPS,-7.0
2009-11-13,Management Fee,YDH-O4DPS,-16.0
2009-11-13,Capital Call,YDH-O4DPS,-109.0
2010-01-07,Reported Market Value,YDH-O4DPS,987.0
2010-03-03,Management Fee,YDH-O4DPS,-4.0
2010-03-03,Partnership Expenses,YDH-O4DPS,-6.0
2010-03-03,Capital Call,YDH-O4DPS,-295.0
2010-04-09,Reported Market Value,YDH-O4DPS,539.0
2010-07-10,Reported Market Value,YDH-O4DPS,554.0
2010-10-09,Reported Market Value,YDH-O4DPS,462.0
2011-01-08,Reported Market Value,YDH-O4DPS,357.0
2011-02-19,Partnership Expenses,YDH-O4DPS,-18.0
2011-02-19,Management Fee,YDH-O4DPS,-61.0
2011-02-19,Capital Call,YDH-O4DPS,-2070.0
2011-04-10,Reported Market Value,YDH-O4DPS,4078.0
2011-07-11,Reported Market Value,YDH-O4DPS,4484.0
2011-07-24,Realized Gain/Loss,YDH-O4DPS,1436.0
2011-07-24,Recallable Return of Capital,YDH-O4DPS,1318.0
2011-07-24,Partnership Expenses,YDH-O4DPS,-35.0
2011-07-24,Management Fee,YDH-O4DPS,-61.0
2011-07-24,Capital Call,YDH-O4DPS,-65.0
2011-07-24,Carry,YDH-O4DPS,-206.0
2011-10-09,Reported Market Value,YDH-O4DPS,1731.0
2011-11-27,Carry,YDH-O4DPS,83.0
2011-12-31,Recallable Return of Capital,YDH-O4DPS,851.0
2011-12-31,Realized Gain/Loss,YDH-O4DPS,1.0
2011-12-31,Capital Call,YDH-O4DPS,-83.0
2012-01-05,Recallable Return of Capital,YDH-O4DPS,130.0
2012-01-05,Realized Gain/Loss,YDH-O4DPS,106.0
2012-01-08,Reported Market Value,YDH-O4DPS,594.0
2012-04-09,Reported Market Value,YDH-O4DPS,586.0
2012-07-08,Realized Gain/Loss,YDH-O4DPS,90.0
2012-07-08,Capital Call,YDH-O4DPS,-14.0
2012-07-08,Unfunded Adjustment,YDH-O4DPS,-9464.0
2012-07-08,Return of Capital,YDH-O4DPS,185.0
2012-07-08,Return of Capital,YDH-O4DPS,108.0
2012-07-10,Reported Market Value,YDH-O4DPS,220.0
2012-10-08,Reported Market Value,YDH-O4DPS,208.0
2013-01-07,Reported Market Value,YDH-O4DPS,216.0
2013-01-18,Return of Capital,YDH-O4DPS,126.0
2013-01-18,Realized Gain/Loss,YDH-O4DPS,4.0
2013-01-18,Partnership Expenses (outside commitment),YDH-O4DPS,-31.0
2013-04-09,Reported Market Value,YDH-O4DPS,131.0
2013-07-10,Reported Market Value,YDH-O4DPS,131.0
2013-10-08,Reported Market Value,YDH-O4DPS,131.0
2014-01-07,Reported Market Value,YDH-O4DPS,128.0
2014-03-23,Capital Call,YDH-O4DPS,-12.0
2014-04-09,Reported Market Value,YDH-O4DPS,137.0
2014-07-10,Reported Market Value,YDH-O4DPS,155.0
2014-10-09,Reported Market Value,YDH-O4DPS,147.0
2015-01-08,Reported Market Value,YDH-O4DPS,134.0
2015-03-19,Partnership Expenses,YDH-O4DPS,-12.0
2015-03-19,Capital Call,YDH-O4DPS,-44.0
2015-04-10,Reported Market Value,YDH-O4DPS,222.0
2015-07-11,Reported Market Value,YDH-O4DPS,418.0
2015-10-09,Reported Market Value,YDH-O4DPS,456.0
