Date,TransactionType,Fund,Value
2011-06-11,Reported Market Value,YG1-RZELS,0.0
2011-06-12,Commitment Amount,YG1-RZELS,33285.0
2012-01-26,Partnership Expenses,YG1-RZELS,-93.0
2012-01-26,Management Fee,YG1-RZELS,-110.0
2012-04-09,Reported Market Value,YG1-RZELS,59.0
2012-05-11,Management Fee,YG1-RZELS,-34.0
2012-07-10,Reported Market Value,YG1-RZELS,58.0
2012-08-19,Management Fee,YG1-RZELS,-33.0
2012-10-08,Reported Market Value,YG1-RZELS,53.0
2012-11-29,Capital Call,YG1-RZELS,-4027.0
2013-01-07,Reported Market Value,YG1-RZELS,4063.0
2013-02-13,Return of Capital,YG1-RZELS,23.0
2013-02-13,Income,YG1-RZELS,23.0
2013-02-13,Management Fee,YG1-RZELS,20.0
2013-02-13,Management Fee,YG1-RZELS,-36.0
2013-03-03,Return of Capital,YG1-RZELS,35.0
2013-03-03,Income,YG1-RZELS,35.0
2013-03-03,Management Fee,YG1-RZELS,-40.0
2013-04-09,Reported Market Value,YG1-RZELS,4071.0
2013-04-28,Return of Capital,YG1-RZELS,41.0
2013-04-28,Income,YG1-RZELS,41.0
2013-04-28,Management Fee,YG1-RZELS,-40.0
2013-06-16,Capital Call,YG1-RZELS,-1043.0
2013-06-16,Capital Call,YG1-RZELS,-5.0
2013-06-27,Capital Call,YG1-RZELS,-15.0
2013-06-27,Capital Call,YG1-RZELS,-3025.0
2013-06-30,Capital Call,YG1-RZELS,-14.0
2013-06-30,Capital Call,YG1-RZELS,-2682.0
2013-07-10,Reported Market Value,YG1-RZELS,10681.0
2013-07-27,Partnership Expenses,YG1-RZELS,-56.0
2013-07-27,Management Fee,YG1-RZELS,-49.0
2013-07-27,Management Fee,YG1-RZELS,-2.0
2013-07-27,Return of Capital,YG1-RZELS,72.0
2013-07-27,Income,YG1-RZELS,72.0
2013-07-27,Management Fee,YG1-RZELS,34.0
2013-09-04,Capital Call,YG1-RZELS,-1805.0
2013-09-19,Capital Call,YG1-RZELS,-20.0
2013-09-19,Capital Call,YG1-RZELS,-4044.0
2013-09-29,Temporary Return of Capital,YG1-RZELS,1.0
2013-09-29,Income,YG1-RZELS,78.0
2013-09-29,Return of Capital,YG1-RZELS,78.0
2013-10-08,Reported Market Value,YG1-RZELS,16545.0
2013-11-16,Management Fee,YG1-RZELS,-2.0
2013-11-16,Capital Call,YG1-RZELS,-12.0
2013-11-16,Management Fee,YG1-RZELS,-58.0
2013-11-16,Temporary Return of Capital,YG1-RZELS,402.0
2013-11-16,Income,YG1-RZELS,141.0
2013-11-16,Return of Capital,YG1-RZELS,92.0
2013-11-16,Management Fee,YG1-RZELS,29.0
2013-11-16,Temporary Return of Capital,YG1-RZELS,0.0
2013-11-16,Capital Call,YG1-RZELS,-0.0
2013-12-22,Income,YG1-RZELS,163.0
2013-12-22,Return of Capital,YG1-RZELS,36.0
