Date,TransactionType,Fund,Value
2012-10-06,Capital Call - Direct Investment,YGG-4YGSO,-81.0
2012-10-08,Reported Market Value - Direct Asset,YGG-4YGSO,81.0
2013-01-07,Reported Market Value - Direct Asset,YGG-4YGSO,81.0
2013-04-09,Reported Market Value - Direct Asset,YGG-4YGSO,82.0
2013-07-10,Reported Market Value - Direct Asset,YGG-4YGSO,81.0
2013-10-08,Reported Market Value - Direct Asset,YGG-4YGSO,80.0
2014-01-07,Reported Market Value - Direct Asset,YGG-4YGSO,80.0
2014-04-09,Reported Market Value - Direct Asset,YGG-4YGSO,81.0
2014-07-02,Income - Direct Investment,YGG-4YGSO,0.0
2014-07-10,Reported Market Value - Direct Asset,YGG-4YGSO,81.0
2014-10-09,Reported Market Value - Direct Asset,YGG-4YGSO,81.0
2014-12-14,Income - Direct Investment,YGG-4YGSO,1.0
2015-01-08,Reported Market Value - Direct Asset,YGG-4YGSO,82.0
2015-04-10,Reported Market Value - Direct Asset,YGG-4YGSO,83.0
2015-07-03,Income - Direct Investment,YGG-4YGSO,2.0
2015-07-11,Reported Market Value - Direct Asset,YGG-4YGSO,81.0
2015-10-09,Reported Market Value - Direct Asset,YGG-4YGSO,82.0
2015-12-13,Income - Direct Investment,YGG-4YGSO,1.0
