Date,TransactionType,Fund,Value
2012-08-25,Capital Call - Direct Investment,YH5-Z4G6U,-155.0
2012-10-08,Reported Market Value - Direct Asset,YH5-Z4G6U,154.0
2013-01-07,Reported Market Value - Direct Asset,YH5-Z4G6U,155.0
2013-04-09,Reported Market Value - Direct Asset,YH5-Z4G6U,157.0
2013-07-06,Capital Call - Direct Investment,YH5-Z4G6U,-14.0
2013-07-10,Reported Market Value - Direct Asset,YH5-Z4G6U,153.0
2013-10-08,Reported Market Value - Direct Asset,YH5-Z4G6U,164.0
2014-01-07,Reported Market Value - Direct Asset,YH5-Z4G6U,165.0
2014-04-09,Reported Market Value - Direct Asset,YH5-Z4G6U,168.0
2014-07-02,Income - Direct Investment,YH5-Z4G6U,1.0
2014-07-10,Reported Market Value - Direct Asset,YH5-Z4G6U,169.0
2014-10-09,Reported Market Value - Direct Asset,YH5-Z4G6U,170.0
2014-12-14,Income - Direct Investment,YH5-Z4G6U,2.0
2015-01-08,Reported Market Value - Direct Asset,YH5-Z4G6U,169.0
2015-04-10,Reported Market Value - Direct Asset,YH5-Z4G6U,166.0
2015-07-03,Income - Direct Investment,YH5-Z4G6U,4.0
2015-07-11,Reported Market Value - Direct Asset,YH5-Z4G6U,167.0
2015-10-09,Reported Market Value - Direct Asset,YH5-Z4G6U,201.0
2015-12-13,Income - Direct Investment,YH5-Z4G6U,2.0
