Date,TransactionType,Fund,Value
2011-01-30,Capital Call - Direct Investment,YMF-6MEJF,-2752.0
2011-04-10,Reported Market Value - Direct Asset,YMF-6MEJF,2745.0
2011-07-11,Reported Market Value - Direct Asset,YMF-6MEJF,2752.0
2011-10-09,Reported Market Value - Direct Asset,YMF-6MEJF,3155.0
2011-10-30,Capital Call - Direct Investment,YMF-6MEJF,-403.0
2011-12-24,Capital Call - Direct Investment,YMF-6MEJF,-126.0
2012-01-08,Reported Market Value - Direct Asset,YMF-6MEJF,3444.0
2012-04-05,Capital Call - Direct Investment,YMF-6MEJF,-340.0
2012-04-09,Reported Market Value - Direct Asset,YMF-6MEJF,4372.0
2012-06-30,Capital Call - Direct Investment,YMF-6MEJF,-529.0
2012-07-10,Reported Market Value - Direct Asset,YMF-6MEJF,5852.0
2012-10-08,Reported Market Value - Direct Asset,YMF-6MEJF,6685.0
2012-10-13,Capital Call - Direct Investment,YMF-6MEJF,-378.0
2013-01-03,Capital Call - Direct Investment,YMF-6MEJF,-315.0
2013-01-07,Reported Market Value - Direct Asset,YMF-6MEJF,7243.0
2013-04-09,Reported Market Value - Direct Asset,YMF-6MEJF,7367.0
2013-07-10,Reported Market Value - Direct Asset,YMF-6MEJF,7502.0
2013-10-08,Reported Market Value - Direct Asset,YMF-6MEJF,7565.0
2014-01-07,Reported Market Value - Direct Asset,YMF-6MEJF,8024.0
2014-01-17,Capital Call - Direct Investment,YMF-6MEJF,-63.0
2014-04-09,Reported Market Value - Direct Asset,YMF-6MEJF,8129.0
2014-07-10,Reported Market Value - Direct Asset,YMF-6MEJF,8326.0
2014-10-09,Reported Market Value - Direct Asset,YMF-6MEJF,8044.0
2015-01-08,Reported Market Value - Direct Asset,YMF-6MEJF,8254.0
2015-04-10,Reported Market Value - Direct Asset,YMF-6MEJF,8512.0
2015-07-11,Reported Market Value - Direct Asset,YMF-6MEJF,13173.0
2015-10-09,Reported Market Value - Direct Asset,YMF-6MEJF,12517.0
2015-11-28,Realized Gain/Loss - Direct Investment,YMF-6MEJF,1604.0
2015-11-28,Return of Capital - Direct Investment,YMF-6MEJF,4906.0
