Date,TransactionType,Fund,Value
2011-04-23,Capital Call - Direct Investment,YTP-I7P0G,-1775.0
2011-07-11,Reported Market Value - Direct Asset,YTP-I7P0G,1991.0
2011-08-06,Capital Call - Direct Investment,YTP-I7P0G,-7205.0
2011-10-09,Reported Market Value - Direct Asset,YTP-I7P0G,9406.0
2011-12-04,Capital Call - Direct Investment,YTP-I7P0G,-55.0
2012-01-08,Reported Market Value - Direct Asset,YTP-I7P0G,9604.0
2012-04-08,Temporary Return of Capital - Direct Investment,YTP-I7P0G,55.0
2012-04-09,Reported Market Value - Direct Asset,YTP-I7P0G,9798.0
2012-05-31,Income - Direct Investment,YTP-I7P0G,28.0
2012-05-31,Capital Call - Direct Investment,YTP-I7P0G,-42.0
2012-10-08,Reported Market Value - Direct Asset,YTP-I7P0G,10386.0
2012-12-16,Income - Direct Investment,YTP-I7P0G,173.0
2013-01-07,Reported Market Value - Direct Asset,YTP-I7P0G,10218.0
2013-04-09,Reported Market Value - Direct Asset,YTP-I7P0G,10807.0
2013-04-19,Income - Direct Investment,YTP-I7P0G,37.0
2013-05-09,Return of Capital - Direct Investment,YTP-I7P0G,3800.0
2013-07-10,Reported Market Value - Direct Asset,YTP-I7P0G,8969.0
2013-10-08,Reported Market Value - Direct Asset,YTP-I7P0G,8968.0
2014-01-07,Reported Market Value - Direct Asset,YTP-I7P0G,13612.0
2014-04-09,Reported Market Value - Direct Asset,YTP-I7P0G,0.0
2014-04-19,Realized Gain/Loss - Direct Investment,YTP-I7P0G,8277.0
2014-04-19,Return of Capital - Direct Investment,YTP-I7P0G,5209.0
2014-07-10,Reported Market Value - Direct Asset,YTP-I7P0G,158.0
2014-10-09,Reported Market Value - Direct Asset,YTP-I7P0G,157.0
2015-01-08,Reported Market Value - Direct Asset,YTP-I7P0G,152.0
2015-04-10,Reported Market Value - Direct Asset,YTP-I7P0G,82.0
2015-07-11,Reported Market Value - Direct Asset,YTP-I7P0G,81.0
2015-09-13,Realized Gain/Loss - Direct Investment,YTP-I7P0G,198.0
2015-10-09,Reported Market Value - Direct Asset,YTP-I7P0G,36.0
