Date,TransactionType,Fund,Value
2013-07-10,Reported Market Value - Direct Asset,YTZ-9QPTD,2787.0
2013-10-08,Reported Market Value - Direct Asset,YTZ-9QPTD,3167.0
2014-01-07,Reported Market Value - Direct Asset,YTZ-9QPTD,2682.0
2014-03-13,Capital Call - Direct Investment,YTZ-9QPTD,-775.0
2014-03-13,Capital Call - Direct Investment,YTZ-9QPTD,-1.0
2014-03-13,Return of Capital - Direct Investment,YTZ-9QPTD,583.0
2014-03-13,Return of Capital - Direct Investment,YTZ-9QPTD,193.0
2014-04-09,Reported Market Value - Direct Asset,YTZ-9QPTD,2558.0
2014-07-10,Capital Call - Direct Investment,YTZ-9QPTD,-1338.0
2014-07-10,Capital Call - Direct Investment,YTZ-9QPTD,-3.0
2014-07-10,Temporary Return of Capital - Direct Investment,YTZ-9QPTD,205.0
2014-07-10,Reported Market Value - Direct Asset,YTZ-9QPTD,2650.0
2014-10-08,Capital Call - Direct Investment,YTZ-9QPTD,-652.0
2014-10-09,Reported Market Value - Direct Asset,YTZ-9QPTD,2495.0
2015-01-08,Reported Market Value - Direct Asset,YTZ-9QPTD,2639.0
2015-04-10,Reported Market Value - Direct Asset,YTZ-9QPTD,2741.0
2015-07-11,Reported Market Value - Direct Asset,YTZ-9QPTD,2789.0
2015-10-09,Reported Market Value - Direct Asset,YTZ-9QPTD,2815.0
