Date,TransactionType,Fund,Value
2014-09-21,Capital Call - Direct Investment,YV2-R34KU,-1630.0
2014-10-09,Reported Market Value - Direct Asset,YV2-R34KU,1626.0
2015-01-08,Reported Market Value - Direct Asset,YV2-R34KU,1699.0
2015-04-10,Reported Market Value - Direct Asset,YV2-R34KU,1826.0
2015-07-11,Reported Market Value - Direct Asset,YV2-R34KU,1727.0
2015-08-22,Temporary Return of Capital - Direct Investment,YV2-R34KU,39.0
2015-10-09,Reported Market Value - Direct Asset,YV2-R34KU,1668.0
2015-10-22,Temporary Return of Capital - Direct Investment,YV2-R34KU,2.0
2015-10-24,Income - Direct Investment,YV2-R34KU,121.0
2015-12-25,Income - Direct Investment,YV2-R34KU,31.0
