Date,TransactionType,Fund,Value
2013-09-07,Capital Call - Direct Investment,YW8-2HZCM,-1825.0
2013-09-28,Temporary Return of Capital - Direct Investment,YW8-2HZCM,110.0
2013-10-08,Reported Market Value - Direct Asset,YW8-2HZCM,1862.0
2014-01-07,Reported Market Value - Direct Asset,YW8-2HZCM,1971.0
2014-04-09,Reported Market Value - Direct Asset,YW8-2HZCM,2098.0
2014-04-09,Reported Market Value - Direct Asset,YW8-2HZCM,2460.0
2014-06-04,Capital Call - Direct Investment,YW8-2HZCM,-277.0
2014-06-26,Capital Call - Direct Investment,YW8-2HZCM,-246.0
2014-07-10,Reported Market Value - Direct Asset,YW8-2HZCM,2802.0
2014-10-09,Reported Market Value - Direct Asset,YW8-2HZCM,2979.0
2015-01-08,Reported Market Value - Direct Asset,YW8-2HZCM,2854.0
2015-04-10,Reported Market Value - Direct Asset,YW8-2HZCM,3394.0
2015-07-11,Reported Market Value - Direct Asset,YW8-2HZCM,3665.0
2015-10-09,Reported Market Value - Direct Asset,YW8-2HZCM,3608.0
2015-12-26,Income - Direct Investment,YW8-2HZCM,97.0
