Date,TransactionType,Fund,Value
2013-08-04,Capital Call - Direct Investment,Z4W-ST7QI,-1839.0
2013-10-08,Income - Direct Investment,Z4W-ST7QI,8.0
2013-10-08,Reported Market Value - Direct Asset,Z4W-ST7QI,1850.0
2014-01-07,Reported Market Value - Direct Asset,Z4W-ST7QI,1820.0
2014-04-04,Income - Direct Investment,Z4W-ST7QI,4.0
2014-04-09,Reported Market Value - Direct Asset,Z4W-ST7QI,1751.0
2014-07-10,Reported Market Value - Direct Asset,Z4W-ST7QI,2087.0
2014-10-09,Reported Market Value - Direct Asset,Z4W-ST7QI,1835.0
2015-01-08,Reported Market Value - Direct Asset,Z4W-ST7QI,2080.0
2015-04-10,Reported Market Value - Direct Asset,Z4W-ST7QI,2160.0
2015-07-11,Reported Market Value - Direct Asset,Z4W-ST7QI,2339.0
2015-08-19,Income - Direct Investment,Z4W-ST7QI,16.0
2015-10-09,Reported Market Value - Direct Asset,Z4W-ST7QI,2445.0
2015-10-18,Income - Direct Investment,Z4W-ST7QI,8.0
