Date,TransactionType,Fund,Value
2009-09-18,Reported Market Value,Z66-DZEFO,0.0
2009-09-19,Commitment Amount,Z66-DZEFO,11095.0
2009-10-04,Partnership Expenses,Z66-DZEFO,-16.0
2009-10-04,Late Closing Interest - Contribution,Z66-DZEFO,-366.0
2009-10-04,Capital Call,Z66-DZEFO,-3069.0
2009-10-08,Reported Market Value,Z66-DZEFO,3041.0
2009-12-05,Capital Call,Z66-DZEFO,-14.0
2009-12-05,Partnership Expenses,Z66-DZEFO,-25.0
2010-01-07,Reported Market Value,Z66-DZEFO,3031.0
2010-02-21,Capital Call,Z66-DZEFO,-65.0
2010-02-21,Partnership Expenses,Z66-DZEFO,-34.0
2010-04-09,Reported Market Value,Z66-DZEFO,3800.0
2010-06-06,Capital Call,Z66-DZEFO,-3377.0
2010-06-06,Management Fee,Z66-DZEFO,-70.0
2010-06-06,Partnership Expenses,Z66-DZEFO,-24.0
2010-07-10,Reported Market Value,Z66-DZEFO,7146.0
2010-08-19,Partnership Expenses,Z66-DZEFO,-26.0
2010-08-19,Management Fee,Z66-DZEFO,-9.0
2010-10-09,Reported Market Value,Z66-DZEFO,7104.0
2010-11-26,Partnership Expenses,Z66-DZEFO,-15.0
2010-11-26,Capital Call,Z66-DZEFO,-52.0
2011-01-01,Capital Call,Z66-DZEFO,-3331.0
2011-01-08,Reported Market Value,Z66-DZEFO,7135.0
2011-01-08,Temporary Return of Capital,Z66-DZEFO,3331.0
2011-02-10,Capital Call,Z66-DZEFO,-3413.0
2011-02-10,Partnership Expenses,Z66-DZEFO,-10.0
2011-04-10,Reported Market Value,Z66-DZEFO,11382.0
2011-04-16,Return of Capital,Z66-DZEFO,177.0
2011-04-16,Recallable Return of Capital,Z66-DZEFO,150.0
2011-05-22,Partnership Expenses,Z66-DZEFO,-10.0
2011-05-22,Capital Call,Z66-DZEFO,-25.0
2011-07-08,Recallable Return of Capital,Z66-DZEFO,3217.0
2011-07-11,Reported Market Value,Z66-DZEFO,7746.0
2011-08-18,Recallable Return of Capital,Z66-DZEFO,10.0
2011-08-18,Return of Capital,Z66-DZEFO,207.0
2011-08-19,Partnership Expenses,Z66-DZEFO,-16.0
2011-08-19,Capital Call,Z66-DZEFO,-16.0
2011-10-09,Reported Market Value,Z66-DZEFO,7739.0
2011-10-26,Partnership Expenses,Z66-DZEFO,-9.0
2011-10-26,Partnership Expenses,Z66-DZEFO,-25.0
2012-01-08,Reported Market Value,Z66-DZEFO,7717.0
2012-01-28,Capital Call,Z66-DZEFO,-0.0
2012-01-28,Partnership Expenses,Z66-DZEFO,-23.0
2012-02-05,Recallable Return of Capital,Z66-DZEFO,38.0
2012-02-05,Return of Capital,Z66-DZEFO,174.0
2012-04-09,Reported Market Value,Z66-DZEFO,7714.0
2012-04-25,Capital Call,Z66-DZEFO,-9.0
2012-05-20,Recallable Return of Capital,Z66-DZEFO,36.0
2012-06-21,Commitment Amount,Z66-DZEFO,11095.0
2012-07-01,Capital Call,Z66-DZEFO,-8872.0
2012-07-10,Reported Market Value,Z66-DZEFO,16496.0
2012-08-11,Capital Call,Z66-DZEFO,-226.0
2012-08-11,Partnership Expenses,Z66-DZEFO,-115.0
2012-09-23,Recallable Return of Capital,Z66-DZEFO,17.0
2012-09-23,Return of Capital,Z66-DZEFO,145.0
2012-10-07,Income,Z66-DZEFO,244.0
2012-10-08,Reported Market Value,Z66-DZEFO,16502.0
2012-11-01,Capital Call,Z66-DZEFO,-4156.0
2013-01-07,Reported Market Value,Z66-DZEFO,20574.0
2013-02-01,Capital Call,Z66-DZEFO,-76.0
2013-02-01,Temporary Return of Capital,Z66-DZEFO,104.0
2013-02-01,Partnership Expenses,Z66-DZEFO,-11.0
2013-02-01,Management Fee,Z66-DZEFO,-17.0
2013-02-21,Recallable Return of Capital,Z66-DZEFO,4614.0
2013-04-09,Reported Market Value,Z66-DZEFO,15878.0
2013-05-04,Management Fee,Z66-DZEFO,-6.0
2013-05-04,Partnership Expenses,Z66-DZEFO,-8.0
2013-05-04,Temporary Return of Capital,Z66-DZEFO,37.0
2013-05-04,Capital Call,Z66-DZEFO,-22.0
2013-07-10,Reported Market Value,Z66-DZEFO,16258.0
2013-08-11,Temporary Return of Capital,Z66-DZEFO,73.0
2013-08-11,Management Fee,Z66-DZEFO,-11.0
2013-08-11,Partnership Expenses,Z66-DZEFO,-11.0
2013-08-11,Capital Call,Z66-DZEFO,-51.0
2013-08-17,Recallable Return of Capital,Z66-DZEFO,455.0
2013-10-08,Reported Market Value,Z66-DZEFO,17288.0
2013-11-08,Management Fee,Z66-DZEFO,-10.0
2013-11-08,Partnership Expenses,Z66-DZEFO,-15.0
2013-11-08,Capital Call,Z66-DZEFO,-88.0
2013-11-08,Temporary Return of Capital,Z66-DZEFO,96.0
2014-01-07,Reported Market Value,Z66-DZEFO,17736.0
