Date,TransactionType,Fund,Value
2009-06-03,Capital Call - Direct Investment,Z9T-QMR2F,-619.0
2009-07-10,Reported Market Value - Direct Asset,Z9T-QMR2F,617.0
2009-08-08,Capital Call - Direct Investment,Z9T-QMR2F,-1063.0
2009-10-08,Reported Market Value - Direct Asset,Z9T-QMR2F,1676.0
2009-12-23,Capital Call - Direct Investment,Z9T-QMR2F,-232.0
2010-01-07,Reported Market Value - Direct Asset,Z9T-QMR2F,1908.0
2010-04-09,Reported Market Value - Direct Asset,Z9T-QMR2F,2201.0
2010-05-19,Capital Call - Direct Investment,Z9T-QMR2F,-182.0
2010-07-09,Capital Call - Direct Investment,Z9T-QMR2F,-21.0
2010-07-10,Reported Market Value - Direct Asset,Z9T-QMR2F,2435.0
2010-10-09,Reported Market Value - Direct Asset,Z9T-QMR2F,2646.0
2011-01-08,Reported Market Value - Direct Asset,Z9T-QMR2F,2643.0
2011-04-10,Reported Market Value - Direct Asset,Z9T-QMR2F,2697.0
2011-06-09,Capital Call - Direct Investment,Z9T-QMR2F,-21.0
2011-07-11,Reported Market Value - Direct Asset,Z9T-QMR2F,2904.0
2011-10-09,Reported Market Value - Direct Asset,Z9T-QMR2F,2913.0
2012-01-08,Reported Market Value - Direct Asset,Z9T-QMR2F,3081.0
2012-04-09,Reported Market Value - Direct Asset,Z9T-QMR2F,3201.0
2012-06-30,Capital Call - Direct Investment,Z9T-QMR2F,-24.0
2012-07-10,Reported Market Value - Direct Asset,Z9T-QMR2F,3232.0
2012-10-08,Reported Market Value - Direct Asset,Z9T-QMR2F,3294.0
2013-01-07,Reported Market Value - Direct Asset,Z9T-QMR2F,3312.0
2013-04-09,Reported Market Value - Direct Asset,Z9T-QMR2F,3424.0
2013-07-07,Capital Call - Direct Investment,Z9T-QMR2F,-22.0
2013-07-07,Return of Capital - Direct Investment,Z9T-QMR2F,160.0
2013-07-10,Reported Market Value - Direct Asset,Z9T-QMR2F,3400.0
2013-10-08,Reported Market Value - Direct Asset,Z9T-QMR2F,4183.0
2013-12-28,Return of Capital - Direct Investment,Z9T-QMR2F,754.0
2013-12-28,Realized Gain/Loss - Direct Investment,Z9T-QMR2F,610.0
2014-01-07,Reported Market Value - Direct Asset,Z9T-QMR2F,3142.0
2014-04-09,Reported Market Value - Direct Asset,Z9T-QMR2F,3344.0
2014-07-02,Capital Call - Direct Investment,Z9T-QMR2F,-17.0
2014-07-10,Reported Market Value - Direct Asset,Z9T-QMR2F,3434.0
2014-10-09,Reported Market Value - Direct Asset,Z9T-QMR2F,3436.0
2015-01-08,Reported Market Value - Direct Asset,Z9T-QMR2F,3746.0
2015-04-10,Reported Market Value - Direct Asset,Z9T-QMR2F,3808.0
2015-07-11,Capital Call - Direct Investment,Z9T-QMR2F,-7.0
2015-07-11,Reported Market Value - Direct Asset,Z9T-QMR2F,3822.0
2015-10-09,Reported Market Value - Direct Asset,Z9T-QMR2F,3867.0
