Date,TransactionType,Fund,Value
2014-01-07,Reported Market Value - Direct Asset,ZFC-PGQHC,310.0
2014-01-17,Capital Call - Direct Investment,ZFC-PGQHC,-210.0
2014-03-26,Capital Call - Direct Investment,ZFC-PGQHC,-254.0
2014-04-09,Reported Market Value - Direct Asset,ZFC-PGQHC,806.0
2014-07-10,Reported Market Value - Direct Asset,ZFC-PGQHC,842.0
2014-09-25,Capital Call - Direct Investment,ZFC-PGQHC,-202.0
2014-10-09,Reported Market Value - Direct Asset,ZFC-PGQHC,1201.0
2015-01-08,Reported Market Value - Direct Asset,ZFC-PGQHC,1679.0
2015-01-17,Capital Call - Direct Investment,ZFC-PGQHC,-254.0
2015-04-10,Reported Market Value - Direct Asset,ZFC-PGQHC,1693.0
2015-07-01,Capital Call - Direct Investment,ZFC-PGQHC,-222.0
2015-07-11,Reported Market Value - Direct Asset,ZFC-PGQHC,2088.0
2015-10-09,Reported Market Value - Direct Asset,ZFC-PGQHC,2119.0
2015-11-28,Return of Capital - Direct Investment,ZFC-PGQHC,356.0
2015-11-28,Realized Gain/Loss - Direct Investment,ZFC-PGQHC,292.0
