Date,TransactionType,Fund,Value
2011-01-08,Reported Market Value,ZG4-6D27G,0.0
2011-01-09,Commitment Amount,ZG4-6D27G,2774.0
2011-01-13,Capital Call,ZG4-6D27G,-2395.0
2011-01-13,Partnership Expenses,ZG4-6D27G,-87.0
2011-03-18,Capital Call,ZG4-6D27G,-32.0
2011-04-10,Reported Market Value,ZG4-6D27G,2484.0
2011-05-11,Return of Capital,ZG4-6D27G,5.0
2011-05-11,Realized Gain/Loss,ZG4-6D27G,2.0
2011-06-10,Partnership Expenses,ZG4-6D27G,-25.0
2011-06-10,Return of Capital,ZG4-6D27G,25.0
2011-07-10,Return of Capital,ZG4-6D27G,10.0
2011-07-11,Reported Market Value,ZG4-6D27G,2483.0
2011-08-11,Partnership Expenses,ZG4-6D27G,-81.0
2011-08-11,Return of Capital,ZG4-6D27G,81.0
2011-09-08,Partnership Expenses,ZG4-6D27G,-46.0
2011-09-08,Return of Capital,ZG4-6D27G,46.0
2011-10-09,Partnership Expenses,ZG4-6D27G,-12.0
2011-10-09,Reported Market Value,ZG4-6D27G,3817.0
2011-10-09,Return of Capital,ZG4-6D27G,12.0
2011-11-06,Partnership Expenses,ZG4-6D27G,-24.0
2011-11-06,Return of Capital,ZG4-6D27G,24.0
2011-12-09,Realized Gain/Loss,ZG4-6D27G,68.0
2011-12-09,Return of Capital,ZG4-6D27G,13.0
2012-01-08,Partnership Expenses (outside commitment),ZG4-6D27G,-380.0
2012-01-08,Return of Capital,ZG4-6D27G,380.0
2012-01-08,Reported Market Value,ZG4-6D27G,2959.0
2012-02-08,Return of Capital,ZG4-6D27G,13.0
2012-02-08,Realized Gain/Loss,ZG4-6D27G,23.0
2012-03-10,Return of Capital,ZG4-6D27G,5.0
2012-04-09,Reported Market Value,ZG4-6D27G,2909.0
2012-05-10,Return of Capital,ZG4-6D27G,14.0
2012-05-10,Realized Gain/Loss,ZG4-6D27G,5.0
2012-06-09,Return of Capital,ZG4-6D27G,14.0
2012-06-09,Realized Gain/Loss,ZG4-6D27G,2.0
2012-07-08,Return of Capital,ZG4-6D27G,14.0
2012-07-08,Realized Gain/Loss,ZG4-6D27G,2.0
2012-07-10,Reported Market Value,ZG4-6D27G,3898.0
2012-08-10,Return of Capital,ZG4-6D27G,14.0
2012-08-10,Realized Gain/Loss,ZG4-6D27G,14.0
2012-09-07,Recallable Income,ZG4-6D27G,1.0
2012-09-07,Partnership Expenses,ZG4-6D27G,-1.0
2012-10-05,Return of Capital,ZG4-6D27G,15.0
2012-10-05,Realized Gain/Loss,ZG4-6D27G,18.0
2012-10-08,Reported Market Value,ZG4-6D27G,4004.0
2012-11-07,Realized Gain/Loss,ZG4-6D27G,10.0
2012-11-07,Return of Capital,ZG4-6D27G,15.0
2012-12-08,Realized Gain/Loss,ZG4-6D27G,43.0
2012-12-08,Return of Capital,ZG4-6D27G,15.0
2013-01-06,Return of Capital,ZG4-6D27G,15.0
2013-01-06,Realized Gain/Loss,ZG4-6D27G,54.0
2013-01-07,Reported Market Value,ZG4-6D27G,3642.0
2013-02-07,Realized Gain/Loss,ZG4-6D27G,63.0
2013-02-07,Return of Capital,ZG4-6D27G,15.0
2013-02-10,Partnership Expenses (outside commitment),ZG4-6D27G,-203.0
2013-02-10,Management Fee (outside commitment),ZG4-6D27G,-12.0
2013-02-10,Return of Capital,ZG4-6D27G,1443.0
2013-03-10,Return of Capital,ZG4-6D27G,47.0
2013-03-10,Realized Gain/Loss,ZG4-6D27G,4.0
2013-04-07,Realized Gain/Loss,ZG4-6D27G,75.0
2013-04-07,Return of Capital,ZG4-6D27G,16.0
2013-04-09,Reported Market Value,ZG4-6D27G,3583.0
2013-05-10,Partnership Expenses,ZG4-6D27G,-113.0
