Date,TransactionType,Fund,Value
2002-01-07,Reported Market Value - Direct Asset,ZJK-LHC4P,104.0
2002-03-02,Capital Call - Direct Investment,ZJK-LHC4P,-687.0
2002-04-09,Reported Market Value - Direct Asset,ZJK-LHC4P,791.0
2002-06-06,Capital Call - Direct Investment,ZJK-LHC4P,-2392.0
2002-07-10,Reported Market Value - Direct Asset,ZJK-LHC4P,3811.0
2002-09-21,Income - Direct Investment,ZJK-LHC4P,166.0
2002-10-09,Reported Market Value - Direct Asset,ZJK-LHC4P,3697.0
2003-01-08,Reported Market Value - Direct Asset,ZJK-LHC4P,4194.0
2003-02-05,Income - Direct Investment,ZJK-LHC4P,42.0
2003-04-10,Reported Market Value - Direct Asset,ZJK-LHC4P,3846.0
2003-05-08,Income - Direct Investment,ZJK-LHC4P,125.0
2003-07-11,Reported Market Value - Direct Asset,ZJK-LHC4P,2757.0
2003-08-07,Income - Direct Investment,ZJK-LHC4P,21.0
2003-10-09,Reported Market Value - Direct Asset,ZJK-LHC4P,2756.0
2003-11-06,Income - Direct Investment,ZJK-LHC4P,42.0
2004-01-08,Reported Market Value - Direct Asset,ZJK-LHC4P,3542.0
2004-02-05,Income - Direct Investment,ZJK-LHC4P,42.0
2004-03-20,Capital Call - Direct Investment,ZJK-LHC4P,-1373.0
2004-04-09,Reported Market Value - Direct Asset,ZJK-LHC4P,5022.0
2004-05-06,Income - Direct Investment,ZJK-LHC4P,104.0
2004-05-16,Capital Call - Direct Investment,ZJK-LHC4P,-2496.0
2004-05-30,Return of Capital - Direct Investment,ZJK-LHC4P,374.0
2004-07-10,Reported Market Value - Direct Asset,ZJK-LHC4P,8340.0
2004-08-05,Income - Direct Investment,ZJK-LHC4P,62.0
2004-10-08,Reported Market Value - Direct Asset,ZJK-LHC4P,8399.0
2004-11-04,Income - Direct Investment,ZJK-LHC4P,166.0
2005-01-07,Reported Market Value - Direct Asset,ZJK-LHC4P,8091.0
2005-02-03,Income - Direct Investment,ZJK-LHC4P,125.0
2005-04-09,Reported Market Value - Direct Asset,ZJK-LHC4P,7775.0
2005-05-05,Income - Direct Investment,ZJK-LHC4P,354.0
2005-07-10,Reported Market Value - Direct Asset,ZJK-LHC4P,8642.0
2005-08-04,Income - Direct Investment,ZJK-LHC4P,166.0
2005-10-08,Reported Market Value - Direct Asset,ZJK-LHC4P,9108.0
2005-11-03,Capital Call - Direct Investment,ZJK-LHC4P,-707.0
2005-11-03,Capital Call - Direct Investment,ZJK-LHC4P,-775.0
2005-11-03,Income - Direct Investment,ZJK-LHC4P,208.0
2006-01-07,Reported Market Value - Direct Asset,ZJK-LHC4P,10283.0
2006-02-02,Income - Direct Investment,ZJK-LHC4P,250.0
2006-04-07,Capital Call - Direct Investment,ZJK-LHC4P,-874.0
2006-04-09,Reported Market Value - Direct Asset,ZJK-LHC4P,10383.0
2006-05-04,Income - Direct Investment,ZJK-LHC4P,229.0
2006-07-10,Reported Market Value - Direct Asset,ZJK-LHC4P,10264.0
2006-08-03,Income - Direct Investment,ZJK-LHC4P,312.0
2006-10-09,Reported Market Value - Direct Asset,ZJK-LHC4P,10183.0
2006-11-02,Income - Direct Investment,ZJK-LHC4P,499.0
2007-01-08,Reported Market Value - Direct Asset,ZJK-LHC4P,8577.0
2007-02-01,Income - Direct Investment,ZJK-LHC4P,450.0
2007-02-01,Return of Capital - Direct Investment,ZJK-LHC4P,340.0
2007-02-24,Return of Capital - Direct Investment,ZJK-LHC4P,811.0
2007-04-10,Reported Market Value - Direct Asset,ZJK-LHC4P,7437.0
2007-05-03,Income - Direct Investment,ZJK-LHC4P,416.0
2007-07-11,Reported Market Value - Direct Asset,ZJK-LHC4P,7513.0
2007-08-09,Income - Direct Investment,ZJK-LHC4P,83.0
2007-10-09,Reported Market Value - Direct Asset,ZJK-LHC4P,7479.0
2007-11-01,Income - Direct Investment,ZJK-LHC4P,229.0
2007-11-23,Income - Direct Investment,ZJK-LHC4P,179.0
2008-01-08,Reported Market Value - Direct Asset,ZJK-LHC4P,7012.0
2008-01-31,Income - Direct Investment,ZJK-LHC4P,229.0
2008-02-01,Income - Direct Investment,ZJK-LHC4P,179.0
2008-04-09,Reported Market Value - Direct Asset,ZJK-LHC4P,7048.0
2008-05-01,Income - Direct Investment,ZJK-LHC4P,104.0
2008-05-02,Income - Direct Investment,ZJK-LHC4P,60.0
2008-05-17,Return of Capital - Direct Investment,ZJK-LHC4P,582.0
2008-06-26,Return of Capital - Direct Investment,ZJK-LHC4P,125.0
2008-07-10,Reported Market Value - Direct Asset,ZJK-LHC4P,6795.0
2008-08-07,Income - Direct Investment,ZJK-LHC4P,166.0
2008-08-08,Income - Direct Investment,ZJK-LHC4P,30.0
2008-10-08,Reported Market Value - Direct Asset,ZJK-LHC4P,6750.0
2008-10-30,Income - Direct Investment,ZJK-LHC4P,187.0
2009-01-07,Reported Market Value - Direct Asset,ZJK-LHC4P,7815.0
2009-01-29,Return of Capital - Direct Investment,ZJK-LHC4P,146.0
2009-04-09,Reported Market Value - Direct Asset,ZJK-LHC4P,7589.0
2009-05-08,Return of Capital - Direct Investment,ZJK-LHC4P,104.0
2009-07-10,Reported Market Value - Direct Asset,ZJK-LHC4P,4586.0
2009-10-08,Reported Market Value - Direct Asset,ZJK-LHC4P,4257.0
2010-01-07,Reported Market Value - Direct Asset,ZJK-LHC4P,5710.0
2010-04-09,Reported Market Value - Direct Asset,ZJK-LHC4P,5052.0
2010-07-10,Reported Market Value - Direct Asset,ZJK-LHC4P,3422.0
2010-10-09,Reported Market Value - Direct Asset,ZJK-LHC4P,2979.0
2011-01-08,Reported Market Value - Direct Asset,ZJK-LHC4P,3789.0
2011-04-10,Reported Market Value - Direct Asset,ZJK-LHC4P,3982.0
2011-06-11,Capital Call - Direct Investment,ZJK-LHC4P,-1377.0
2011-07-11,Reported Market Value - Direct Asset,ZJK-LHC4P,5086.0
2011-10-09,Reported Market Value - Direct Asset,ZJK-LHC4P,4895.0
2012-01-08,Reported Market Value - Direct Asset,ZJK-LHC4P,4886.0
2012-04-09,Reported Market Value - Direct Asset,ZJK-LHC4P,5067.0
2012-07-10,Reported Market Value - Direct Asset,ZJK-LHC4P,5068.0
2012-10-08,Reported Market Value - Direct Asset,ZJK-LHC4P,5349.0
2013-01-07,Reported Market Value - Direct Asset,ZJK-LHC4P,5355.0
2013-04-09,Reported Market Value - Direct Asset,ZJK-LHC4P,5628.0
2013-07-10,Reported Market Value - Direct Asset,ZJK-LHC4P,2273.0
2013-10-08,Reported Market Value - Direct Asset,ZJK-LHC4P,2646.0
2014-01-07,Reported Market Value - Direct Asset,ZJK-LHC4P,0.0
2014-04-09,Reported Market Value - Direct Asset,ZJK-LHC4P,0.0
2014-07-10,Reported Market Value - Direct Asset,ZJK-LHC4P,0.0
2015-01-08,Reported Market Value - Direct Asset,ZJK-LHC4P,0.0
