Date,TransactionType,Fund,Value
2011-07-11,Reported Market Value - Direct Asset,ZLM-CT5B7,4.0
2011-10-09,Reported Market Value - Direct Asset,ZLM-CT5B7,3.0
2012-01-08,Reported Market Value - Direct Asset,ZLM-CT5B7,2.0
2012-04-09,Reported Market Value - Direct Asset,ZLM-CT5B7,1.0
2012-07-10,Reported Market Value - Direct Asset,ZLM-CT5B7,4.0
2012-10-08,Reported Market Value - Direct Asset,ZLM-CT5B7,2.0
2013-01-07,Reported Market Value - Direct Asset,ZLM-CT5B7,-1.0
2013-04-09,Reported Market Value - Direct Asset,ZLM-CT5B7,-2.0
2013-07-10,Reported Market Value - Direct Asset,ZLM-CT5B7,-3.0
2013-10-08,Reported Market Value - Direct Asset,ZLM-CT5B7,-3.0
2014-01-07,Reported Market Value - Direct Asset,ZLM-CT5B7,-3.0
2014-04-09,Reported Market Value - Direct Asset,ZLM-CT5B7,-3.0
2014-07-10,Reported Market Value - Direct Asset,ZLM-CT5B7,-3.0
2014-10-09,Reported Market Value - Direct Asset,ZLM-CT5B7,-3.0
2015-01-08,Reported Market Value - Direct Asset,ZLM-CT5B7,-5.0
2015-04-10,Reported Market Value - Direct Asset,ZLM-CT5B7,-7.0
2015-07-11,Reported Market Value - Direct Asset,ZLM-CT5B7,-8.0
2015-10-09,Reported Market Value - Direct Asset,ZLM-CT5B7,-8.0
