Date,TransactionType,Fund,Value
2002-04-09,Reported Market Value - Direct Asset,ZLQ-FN563,1147.0
2002-05-31,Capital Call - Direct Investment,ZLQ-FN563,-1188.0
2002-07-10,Reported Market Value - Direct Asset,ZLQ-FN563,1082.0
2002-10-09,Reported Market Value - Direct Asset,ZLQ-FN563,1082.0
2003-01-08,Reported Market Value - Direct Asset,ZLQ-FN563,1082.0
2003-04-10,Reported Market Value - Direct Asset,ZLQ-FN563,1114.0
2003-04-27,Capital Call - Direct Investment,ZLQ-FN563,-33.0
2003-07-11,Reported Market Value - Direct Asset,ZLQ-FN563,1118.0
2003-10-09,Reported Market Value - Direct Asset,ZLQ-FN563,1275.0
2003-11-29,Capital Call - Direct Investment,ZLQ-FN563,-89.0
2003-11-29,Capital Call - Direct Investment,ZLQ-FN563,-89.0
2004-01-08,Reported Market Value - Direct Asset,ZLQ-FN563,1378.0
2004-04-09,Reported Market Value - Direct Asset,ZLQ-FN563,1449.0
2004-05-06,Return of Capital - Direct Investment,ZLQ-FN563,7.0
2004-05-06,Capital Call - Direct Investment,ZLQ-FN563,-15.0
2004-06-24,Capital Call - Direct Investment,ZLQ-FN563,-19.0
2004-07-10,Reported Market Value - Direct Asset,ZLQ-FN563,1456.0
2004-10-08,Reported Market Value - Direct Asset,ZLQ-FN563,1475.0
2004-10-09,Return of Capital - Direct Investment,ZLQ-FN563,8.0
2004-10-09,Capital Call - Direct Investment,ZLQ-FN563,-1.0
2004-10-09,Capital Call - Direct Investment,ZLQ-FN563,-18.0
2005-01-07,Reported Market Value - Direct Asset,ZLQ-FN563,1517.0
2005-03-31,Return of Capital - Direct Investment,ZLQ-FN563,8.0
2005-03-31,Capital Call - Direct Investment,ZLQ-FN563,-13.0
2005-03-31,Capital Call - Direct Investment,ZLQ-FN563,-22.0
2005-04-09,Reported Market Value - Direct Asset,ZLQ-FN563,1558.0
2005-06-29,Capital Call - Direct Investment,ZLQ-FN563,-62.0
2005-06-29,Return of Capital - Direct Investment,ZLQ-FN563,3.0
2005-06-29,Return of Capital - Direct Investment,ZLQ-FN563,0.0
2005-07-10,Reported Market Value - Direct Asset,ZLQ-FN563,1851.0
2005-10-08,Reported Market Value - Direct Asset,ZLQ-FN563,1490.0
2005-10-29,Realized Gain/Loss - Direct Investment,ZLQ-FN563,70.0
2005-10-29,Capital Call - Direct Investment,ZLQ-FN563,-9.0
2005-10-29,Capital Call - Direct Investment,ZLQ-FN563,-16.0
