Date,TransactionType,Fund,Value
2009-11-14,Capital Call - Direct Investment,ZQ0-LYGTB,-970.0
2010-01-07,Reported Market Value - Direct Asset,ZQ0-LYGTB,966.0
2010-04-09,Reported Market Value - Direct Asset,ZQ0-LYGTB,918.0
2010-04-22,Capital Call - Direct Investment,ZQ0-LYGTB,-129.0
2010-07-10,Reported Market Value - Direct Asset,ZQ0-LYGTB,1081.0
2010-07-21,Capital Call - Direct Investment,ZQ0-LYGTB,-39.0
2010-09-17,Capital Call - Direct Investment,ZQ0-LYGTB,-37.0
2010-10-09,Reported Market Value - Direct Asset,ZQ0-LYGTB,1160.0
2010-12-16,Income - Direct Investment,ZQ0-LYGTB,198.0
2011-01-08,Reported Market Value - Direct Asset,ZQ0-LYGTB,1009.0
2011-04-10,Reported Market Value - Direct Asset,ZQ0-LYGTB,1013.0
2011-06-08,Return of Capital - Direct Investment,ZQ0-LYGTB,38.0
2011-07-11,Reported Market Value - Direct Asset,ZQ0-LYGTB,934.0
2011-10-09,Reported Market Value - Direct Asset,ZQ0-LYGTB,955.0
2011-12-01,Capital Call - Direct Investment,ZQ0-LYGTB,-46.0
2012-01-08,Reported Market Value - Direct Asset,ZQ0-LYGTB,1075.0
2012-02-12,Income - Direct Investment,ZQ0-LYGTB,3.0
2012-04-09,Reported Market Value - Direct Asset,ZQ0-LYGTB,1081.0
2012-07-10,Reported Market Value - Direct Asset,ZQ0-LYGTB,1082.0
2012-08-10,Income - Direct Investment,ZQ0-LYGTB,87.0
2012-10-08,Reported Market Value - Direct Asset,ZQ0-LYGTB,1266.0
2013-01-06,Return of Capital - Direct Investment,ZQ0-LYGTB,726.0
2013-01-06,Realized Gain/Loss - Direct Investment,ZQ0-LYGTB,219.0
2013-01-06,Income - Direct Investment,ZQ0-LYGTB,20.0
2013-01-07,Reported Market Value - Direct Asset,ZQ0-LYGTB,441.0
2013-04-09,Reported Market Value - Direct Asset,ZQ0-LYGTB,543.0
2013-04-27,Return of Capital - Direct Investment,ZQ0-LYGTB,130.0
2013-05-25,Return of Capital - Direct Investment,ZQ0-LYGTB,333.0
2013-05-25,Income - Direct Investment,ZQ0-LYGTB,39.0
2013-05-25,Realized Gain/Loss - Direct Investment,ZQ0-LYGTB,4327.0
2013-07-10,Reported Market Value - Direct Asset,ZQ0-LYGTB,0.0
2014-01-07,Reported Market Value - Direct Asset,ZQ0-LYGTB,0.0
2014-04-09,Reported Market Value - Direct Asset,ZQ0-LYGTB,0.0
2014-04-09,Reported Market Value - Direct Asset,ZQ0-LYGTB,0.0
2014-07-10,Reported Market Value - Direct Asset,ZQ0-LYGTB,0.0
2014-07-10,Reported Market Value - Direct Asset,ZQ0-LYGTB,0.0
2014-10-09,Reported Market Value - Direct Asset,ZQ0-LYGTB,0.0
2014-10-30,Realized Gain/Loss - Direct Investment,ZQ0-LYGTB,3.0
2015-01-08,Reported Market Value - Direct Asset,ZQ0-LYGTB,0.0
2015-04-10,Reported Market Value - Direct Asset,ZQ0-LYGTB,0.0
