Date,TransactionType,Fund,Value
2010-01-29,Capital Call - Direct Investment,ZYV-THCN9,-141.0
2010-04-09,Reported Market Value - Direct Asset,ZYV-THCN9,139.0
2010-07-10,Reported Market Value - Direct Asset,ZYV-THCN9,142.0
2010-10-09,Reported Market Value - Direct Asset,ZYV-THCN9,146.0
2010-11-21,Capital Call - Direct Investment,ZYV-THCN9,-7.0
2011-01-08,Reported Market Value - Direct Asset,ZYV-THCN9,147.0
2011-04-10,Reported Market Value - Direct Asset,ZYV-THCN9,148.0
2011-04-30,Capital Call - Direct Investment,ZYV-THCN9,-9.0
2011-07-11,Reported Market Value - Direct Asset,ZYV-THCN9,183.0
2011-10-09,Reported Market Value - Direct Asset,ZYV-THCN9,186.0
2011-12-21,Capital Call - Direct Investment,ZYV-THCN9,-6.0
2012-01-08,Reported Market Value - Direct Asset,ZYV-THCN9,186.0
2012-04-09,Reported Market Value - Direct Asset,ZYV-THCN9,190.0
2012-07-10,Reported Market Value - Direct Asset,ZYV-THCN9,178.0
2012-08-05,Capital Call - Direct Investment,ZYV-THCN9,-7.0
2012-10-08,Reported Market Value - Direct Asset,ZYV-THCN9,182.0
2013-01-07,Reported Market Value - Direct Asset,ZYV-THCN9,189.0
2013-04-09,Reported Market Value - Direct Asset,ZYV-THCN9,190.0
2013-07-10,Reported Market Value - Direct Asset,ZYV-THCN9,194.0
2013-10-08,Reported Market Value - Direct Asset,ZYV-THCN9,192.0
2014-01-02,Capital Call - Direct Investment,ZYV-THCN9,-12.0
2014-01-07,Reported Market Value - Direct Asset,ZYV-THCN9,145.0
2014-04-09,Reported Market Value - Direct Asset,ZYV-THCN9,151.0
2014-05-14,Capital Call - Direct Investment,ZYV-THCN9,-5.0
2014-07-10,Reported Market Value - Direct Asset,ZYV-THCN9,161.0
2014-10-09,Reported Market Value - Direct Asset,ZYV-THCN9,163.0
2014-10-16,Capital Call - Direct Investment,ZYV-THCN9,-13.0
2015-01-08,Reported Market Value - Direct Asset,ZYV-THCN9,169.0
2015-04-10,Reported Market Value - Direct Asset,ZYV-THCN9,169.0
2015-07-11,Reported Market Value - Direct Asset,ZYV-THCN9,206.0
2015-10-04,Capital Call - Direct Investment,ZYV-THCN9,-8.0
2015-10-09,Reported Market Value - Direct Asset,ZYV-THCN9,206.0
